N,est_wide,relerr_wide,est_narrow,relerr_narrow,rect_wide_area,rect_narrow_area,exactS
43600,0.952368,0.00831193,0.78445,0.16947,9.72214,1,0.944517
44100,0.946861,0.00248159,0.78576,0.168083,9.72214,1,0.944517
44600,0.947145,0.0027825,0.788363,0.165327,9.72214,1,0.944517
45100,0.952597,0.0085543,0.783925,0.170026,9.72214,1,0.944517
45600,0.920405,0.0255287,0.785746,0.168098,9.72214,1,0.944517
46100,0.932355,0.0128767,0.783839,0.170116,9.72214,1,0.944517
46600,0.926524,0.0190504,0.787554,0.166184,9.72214,1,0.944517
47100,0.940632,0.00411327,0.785775,0.168067,9.72214,1,0.944517
47600,0.9475,0.00315778,0.785105,0.168776,9.72214,1,0.944517
48100,0.92997,0.0154019,0.787464,0.166279,9.72214,1,0.944517
48600,0.948808,0.00454335,0.784918,0.168975,9.72214,1,0.944517
49100,0.941721,0.00296092,0.784623,0.169286,9.72214,1,0.944517
49600,0.925563,0.0200676,0.784899,0.168994,9.72214,1,0.944517
50100,0.93185,0.013411,0.783932,0.170018,9.72214,1,0.944517
50600,0.93955,0.00525866,0.786996,0.166774,9.72214,1,0.944517
51100,0.945197,0.000719846,0.789139,0.164505,9.72214,1,0.944517
51600,0.935096,0.00997446,0.786434,0.167369,9.72214,1,0.944517
52100,0.949075,0.00482506,0.785336,0.168532,9.72214,1,0.944517
52600,0.928593,0.0168592,0.785285,0.168586,9.72214,1,0.944517
53100,0.946032,0.00160334,0.788663,0.165009,9.72214,1,0.944517
53600,0.955164,0.0112718,0.786399,0.167406,9.72214,1,0.944517
54100,0.933217,0.0119637,0.785804,0.168036,9.72214,1,0.944517
54600,0.939272,0.00555299,0.782015,0.172048,9.72214,1,0.944517
55100,0.96145,0.0179279,0.783521,0.170454,9.72214,1,0.944517
55600,0.95228,0.00821852,0.784712,0.169192,9.72214,1,0.944517
56100,0.946392,0.00198482,0.78902,0.164632,9.72214,1,0.944517
56600,0.926179,0.0194149,0.788675,0.164997,9.72214,1,0.944517
57100,0.939352,0.00546814,0.785447,0.168415,9.72214,1,0.944517
57600,0.936431,0.00856147,0.784635,0.169274,9.72214,1,0.944517
58100,0.946444,0.00204008,0.788244,0.165453,9.72214,1,0.944517
58600,0.944175,0.000361912,0.786877,0.1669,9.72214,1,0.944517
59100,0.93372,0.0114316,0.784484,0.169434,9.72214,1,0.944517
59600,0.939589,0.0052177,0.784446,0.169474,9.72214,1,0.944517
60100,0.932257,0.01298,0.781681,0.172402,9.72214,1,0.944517
60600,0.93724,0.00770511,0.785198,0.168678,9.72214,1,0.944517
61100,0.951687,0.00759132,0.786776,0.167007,9.72214,1,0.944517
61600,0.926917,0.0186338,0.786688,0.1671,9.72214,1,0.944517
62100,0.919298,0.026701,0.786151,0.167669,9.72214,1,0.944517
62600,0.951247,0.00712548,0.784984,0.168904,9.72214,1,0.944517
63100,0.93539,0.0096637,0.784279,0.169651,9.72214,1,0.944517
63600,0.940265,0.0045019,0.785959,0.167872,9.72214,1,0.944517
64100,0.942638,0.00198992,0.782574,0.171456,9.72214,1,0.944517
64600,0.945425,0.000961191,0.786548,0.167249,9.72214,1,0.944517
65100,0.944287,0.000244001,0.784209,0.169725,9.72214,1,0.944517
65600,0.944351,0.000175549,0.785686,0.168161,9.72214,1,0.944517
66100,0.954858,0.0109481,0.78826,0.165436,9.72214,1,0.944517
66600,0.945646,0.0011947,0.784369,0.169555,9.72214,1,0.944517
67100,0.95077,0.00661995,0.784277,0.169653,9.72214,1,0.944517
67600,0.939998,0.0047844,0.786435,0.167368,9.72214,1,0.944517
68100,0.946659,0.00226772,0.78699,0.166781,9.72214,1,0.944517
68600,0.940326,0.00443725,0.781254,0.172854,9.72214,1,0.944517
69100,0.926769,0.0187912,0.78848,0.165203,9.72214,1,0.944517
69600,0.956848,0.0130553,0.784986,0.168903,9.72214,1,0.944517
70100,0.942673,0.00195281,0.786576,0.167219,9.72214,1,0.944517
70600,0.961335,0.0178054,0.782351,0.171692,9.72214,1,0.944517
71100,0.964966,0.0216505,0.784008,0.169937,9.72214,1,0.944517
71600,0.932022,0.0132297,0.784735,0.169168,9.72214,1,0.944517
72100,0.942413,0.00222734,0.783024,0.17098,9.72214,1,0.944517
72600,0.956546,0.0127351,0.783567,0.170404,9.72214,1,0.944517
73100,0.947875,0.00355507,0.784788,0.169112,9.72214,1,0.944517
73600,0.958344,0.0146387,0.787989,0.165723,9.72214,1,0.944517
74100,0.914222,0.0320749,0.787004,0.166766,9.72214,1,0.944517
74600,0.948234,0.00393522,0.78118,0.172932,9.72214,1,0.944517
75100,0.93739,0.00754589,0.784368,0.169557,9.72214,1,0.944517
75600,0.930033,0.0153351,0.784087,0.169854,9.72214,1,0.944517
76100,0.952412,0.00835816,0.786439,0.167364,9.72214,1,0.944517
76600,0.935914,0.0091083,0.788185,0.165515,9.72214,1,0.944517
77100,0.950273,0.00609349,0.785357,0.16851,9.72214,1,0.944517
77600,0.946906,0.00252911,0.785928,0.167905,9.72214,1,0.944517
78100,0.945076,0.000591919,0.786325,0.167484,9.72214,1,0.944517
78600,0.923356,0.0224047,0.786247,0.167567,9.72214,1,0.944517
79100,0.938659,0.00620197,0.784589,0.169323,9.72214,1,0.944517
79600,0.944244,0.000289091,0.784183,0.169752,9.72214,1,0.944517
80100,0.95425,0.0103046,0.784444,0.169476,9.72214,1,0.944517
80600,0.953035,0.00901784,0.784653,0.169255,9.72214,1,0.944517
81100,0.935651,0.00938733,0.783884,0.170069,9.72214,1,0.944517
81600,0.964469,0.0211241,0.785564,0.168291,9.72214,1,0.944517
82100,0.945925,0.00149025,0.784945,0.168946,9.72214,1,0.944517
82600,0.926781,0.0187782,0.786356,0.167452,9.72214,1,0.944517
83100,0.939806,0.00498743,0.785403,0.168461,9.72214,1,0.944517
83600,0.944071,0.000472851,0.784199,0.169736,9.72214,1,0.944517
84100,0.921464,0.0244071,0.784578,0.169334,9.72214,1,0.944517
84600,0.93498,0.0100975,0.787021,0.166748,9.72214,1,0.944517
85100,0.937027,0.00793065,0.78584,0.167998,9.72214,1,0.944517
85600,0.95336,0.00936217,0.786355,0.167453,9.72214,1,0.944517
86100,0.936758,0.00821527,0.785436,0.168426,9.72214,1,0.944517
86600,0.952792,0.00876066,0.789861,0.163741,9.72214,1,0.944517
87100,0.941518,0.00317538,0.784237,0.169696,9.72214,1,0.944517
87600,0.943691,0.000874833,0.787055,0.166712,9.72214,1,0.944517
88100,0.947605,0.00326897,0.783837,0.170119,9.72214,1,0.944517
88600,0.941489,0.00320605,0.787235,0.166522,9.72214,1,0.944517
89100,0.951373,0.00725817,0.784792,0.169107,9.72214,1,0.944517
89600,0.945955,0.00152243,0.785156,0.168722,9.72214,1,0.944517
90100,0.919557,0.0264269,0.785516,0.168341,9.72214,1,0.944517
90600,0.948391,0.00410152,0.785033,0.168852,9.72214,1,0.944517
91100,0.954712,0.0107933,0.786487,0.167313,9.72214,1,0.944517
91600,0.923921,0.0218057,0.786157,0.167662,9.72214,1,0.944517
92100,0.940123,0.00465214,0.78355,0.170422,9.72214,1,0.944517
92600,0.937042,0.00791459,0.787171,0.166589,9.72214,1,0.944517
93100,0.956967,0.0131814,0.785564,0.168291,9.72214,1,0.944517
93600,0.930666,0.0146648,0.786528,0.16727,9.72214,1,0.944517
94100,0.935329,0.00972749,0.785154,0.168724,9.72214,1,0.944517
94600,0.912812,0.0335677,0.783182,0.170813,9.72214,1,0.944517
95100,0.957595,0.0138456,0.781987,0.172077,9.72214,1,0.944517
95600,0.944247,0.000285845,0.78613,0.167691,9.72214,1,0.944517
96100,0.960579,0.0170057,0.785338,0.168529,9.72214,1,0.944517
96600,0.936385,0.0086103,0.785166,0.168712,9.72214,1,0.944517
97100,0.942376,0.00226659,0.782945,0.171063,9.72214,1,0.944517
97600,0.954184,0.0102345,0.786568,0.167228,9.72214,1,0.944517
98100,0.943969,0.000580538,0.785505,0.168353,9.72214,1,0.944517
98600,0.947267,0.00291171,0.786318,0.167492,9.72214,1,0.944517
99100,0.927282,0.0182478,0.785752,0.168092,9.72214,1,0.944517
99600,0.931217,0.0140818,0.785863,0.167973,9.72214,1,0.944517
