size,type,threshold,median_us
22000,random,5,4894
22000,reversed,5,3038
22000,almost,5,3155
22000,random,10,4514
22000,reversed,10,5632
22000,almost,10,3320
22000,random,20,4635
22000,reversed,20,2580
22000,almost,20,2562
22000,random,30,4372
22000,reversed,30,2622
22000,almost,30,2804
22000,random,50,4629
22000,reversed,50,3281
22000,almost,50,2036
22100,random,0,7851
22100,reversed,0,5508
22100,almost,0,5158
22100,random,5,4658
22100,reversed,5,3196
22100,almost,5,3762
22100,random,10,4698
22100,reversed,10,2877
22100,almost,10,2886
22100,random,20,4516
22100,reversed,20,2679
22100,almost,20,2764
22100,random,30,4215
22100,reversed,30,2587
22100,almost,30,2247
22100,random,50,4224
22100,reversed,50,5769
22100,almost,50,2653
22200,random,0,13834
22200,reversed,0,6086
22200,almost,0,7167
22200,random,5,5958
22200,reversed,5,5492
22200,almost,5,3293
22200,random,10,5463
22200,reversed,10,2848
22200,almost,10,2958
22200,random,20,5522
22200,reversed,20,2812
22200,almost,20,2576
22200,random,30,4486
22200,reversed,30,2748
22200,almost,30,2531
22200,random,50,5289
22200,reversed,50,3834
22200,almost,50,3133
22300,random,0,8373
22300,reversed,0,4906
22300,almost,0,5503
22300,random,5,5106
22300,reversed,5,2888
22300,almost,5,3448
22300,random,10,4808
22300,reversed,10,2891
22300,almost,10,2915
22300,random,20,4155
22300,reversed,20,2722
22300,almost,20,5069
22300,random,30,4392
22300,reversed,30,2621
22300,almost,30,2346
22300,random,50,4299
22300,reversed,50,3919
22300,almost,50,2306
22400,random,0,7951
22400,reversed,0,5228
22400,almost,0,5588
22400,random,5,4992
22400,reversed,5,3184
22400,almost,5,3458
22400,random,10,5678
22400,reversed,10,4214
22400,almost,10,4071
22400,random,20,7732
22400,reversed,20,3773
22400,almost,20,4732
22400,random,30,7226
22400,reversed,30,5366
22400,almost,30,4554
22400,random,50,8202
22400,reversed,50,6380
22400,almost,50,2135
22500,random,0,7664
22500,reversed,0,5244
22500,almost,0,5208
22500,random,5,5025
22500,reversed,5,5168
22500,almost,5,3612
22500,random,10,5056
22500,reversed,10,2659
22500,almost,10,2921
22500,random,20,4309
22500,reversed,20,2365
22500,almost,20,2755
22500,random,30,4148
22500,reversed,30,2470
22500,almost,30,2440
22500,random,50,4799
22500,reversed,50,3594
22500,almost,50,1915
22600,random,0,7590
22600,reversed,0,6513
22600,almost,0,7015
22600,random,5,5206
22600,reversed,5,3022
22600,almost,5,3493
22600,random,10,5097
22600,reversed,10,2739
22600,almost,10,2867
22600,random,20,4469
22600,reversed,20,2496
22600,almost,20,2759
22600,random,30,3987
22600,reversed,30,2472
22600,almost,30,2365
22600,random,50,4725
22600,reversed,50,3187
22600,almost,50,2060
22700,random,0,6944
22700,reversed,0,4886
22700,almost,0,5221
22700,random,5,4778
22700,reversed,5,3180
22700,almost,5,7040
22700,random,10,9314
22700,reversed,10,6418
22700,almost,10,5606
22700,random,20,7298
22700,reversed,20,5091
22700,almost,20,4079
22700,random,30,7440
22700,reversed,30,2990
22700,almost,30,2414
22700,random,50,4811
22700,reversed,50,3601
22700,almost,50,2028
22800,random,0,7250
22800,reversed,0,5244
22800,almost,0,5741
22800,random,5,5368
22800,reversed,5,3325
22800,almost,5,3604
22800,random,10,4916
22800,reversed,10,3039
22800,almost,10,3451
22800,random,20,4505
22800,reversed,20,2569
22800,almost,20,2677
22800,random,30,4194
22800,reversed,30,2904
22800,almost,30,2561
22800,random,50,4879
22800,reversed,50,4094
22800,almost,50,2353
22900,random,0,7808
22900,reversed,0,5847
22900,almost,0,5738
22900,random,5,5686
22900,reversed,5,3362
22900,almost,5,3841
22900,random,10,4975
22900,reversed,10,2860
22900,almost,10,3268
22900,random,20,4491
22900,reversed,20,2663
22900,almost,20,2792
22900,random,30,5412
22900,reversed,30,2885
22900,almost,30,2733
22900,random,50,4774
22900,reversed,50,3575
22900,almost,50,2104
23000,random,0,7530
23000,reversed,0,5364
23000,almost,0,5664
23000,random,5,5370
23000,reversed,5,3604
23000,almost,5,3560
23000,random,10,5033
23000,reversed,10,3004
23000,almost,10,3217
23000,random,20,4762
23000,reversed,20,2664
23000,almost,20,2891
23000,random,30,4519
23000,reversed,30,2762
23000,almost,30,2497
23000,random,50,5045
23000,reversed,50,4113
23000,almost,50,2122
23100,random,0,13550
23100,reversed,0,8606
23100,almost,0,7957
23100,random,5,6605
23100,reversed,5,4923
23100,almost,5,6792
23100,random,10,7908
23100,reversed,10,3246
23100,almost,10,3117
23100,random,20,5277
23100,reversed,20,2714
23100,almost,20,2796
23100,random,30,4362
23100,reversed,30,2792
23100,almost,30,2480
23100,random,50,4765
23100,reversed,50,4187
23100,almost,50,2512
23200,random,0,7672
23200,reversed,0,6264
23200,almost,0,6012
23200,random,5,5693
23200,reversed,5,5611
23200,almost,5,3920
23200,random,10,4800
23200,reversed,10,2763
23200,almost,10,3213
23200,random,20,4480
23200,reversed,20,2684
23200,almost,20,2759
23200,random,30,4618
23200,reversed,30,2952
23200,almost,30,2742
23200,random,50,5002
23200,reversed,50,4075
23200,almost,50,2312
23300,random,0,7932
23300,reversed,0,5327
23300,almost,0,5549
23300,random,5,5174
23300,reversed,5,3197
23300,almost,5,3927
23300,random,10,4978
23300,reversed,10,2798
23300,almost,10,3018
23300,random,20,4772
23300,reversed,20,2944
23300,almost,20,2817
23300,random,30,4292
23300,reversed,30,2687
23300,almost,30,2637
23300,random,50,4785
23300,reversed,50,3798
23300,almost,50,2235
23400,random,0,7601
23400,reversed,0,5672
23400,almost,0,5383
23400,random,5,5090
23400,reversed,5,3509
23400,almost,5,3626
23400,random,10,4859
23400,reversed,10,3005
23400,almost,10,3175
23400,random,20,4780
23400,reversed,20,2711
23400,almost,20,3320
23400,random,30,4669
23400,reversed,30,2598
23400,almost,30,2374
23400,random,50,4476
23400,reversed,50,3733
23400,almost,50,2120
23500,random,0,7316
23500,reversed,0,5532
23500,almost,0,5763
23500,random,5,5495
23500,reversed,5,3792
23500,almost,5,3580
23500,random,10,4728
23500,reversed,10,2914
23500,almost,10,4950
23500,random,20,4744
23500,reversed,20,2771
23500,almost,20,2586
23500,random,30,4548
23500,reversed,30,2592
23500,almost,30,2510
23500,random,50,4987
23500,reversed,50,3409
23500,almost,50,2221
23600,random,0,7488
23600,reversed,0,4967
23600,almost,0,5182
23600,random,5,5500
23600,reversed,5,3553
23600,almost,5,3557
23600,random,10,4915
23600,reversed,10,2809
23600,almost,10,3054
23600,random,20,5996
23600,reversed,20,3411
23600,almost,20,2914
23600,random,30,4443
23600,reversed,30,2881
23600,almost,30,2603
23600,random,50,4668
23600,reversed,50,3598
23600,almost,50,2139
23700,random,0,7721
23700,reversed,0,5831
23700,almost,0,5411
23700,random,5,6526
23700,reversed,5,3992
23700,almost,5,4006
23700,random,10,5084
23700,reversed,10,3072
23700,almost,10,3683
23700,random,20,4652
23700,reversed,20,2697
23700,almost,20,2679
23700,random,30,4423
23700,reversed,30,2767
23700,almost,30,2501
23700,random,50,4546
23700,reversed,50,4021
23700,almost,50,2080
23800,random,0,9742
23800,reversed,0,5974
23800,almost,0,5666
23800,random,5,6226
23800,reversed,5,3413
23800,almost,5,3580
23800,random,10,5562
23800,reversed,10,3451
23800,almost,10,3386
23800,random,20,4598
23800,reversed,20,2733
23800,almost,20,3225
23800,random,30,4477
23800,reversed,30,2920
23800,almost,30,2484
23800,random,50,4854
23800,reversed,50,4329
23800,almost,50,2297
23900,random,0,8287
23900,reversed,0,5776
23900,almost,0,6056
23900,random,5,5179
23900,reversed,5,3201
23900,almost,5,3666
23900,random,10,4971
23900,reversed,10,3019
23900,almost,10,3272
23900,random,20,4616
23900,reversed,20,4120
23900,almost,20,2817
23900,random,30,5036
23900,reversed,30,3198
23900,almost,30,4970
23900,random,50,10948
23900,reversed,50,4057
23900,almost,50,2282
24000,random,0,9006
24000,reversed,0,7001
24000,almost,0,6491
24000,random,5,6212
24000,reversed,5,4316
24000,almost,5,5902
24000,random,10,6468
24000,reversed,10,3279
24000,almost,10,3548
24000,random,20,4864
24000,reversed,20,2769
24000,almost,20,2729
24000,random,30,4941
24000,reversed,30,3787
24000,almost,30,2694
24000,random,50,6708
24000,reversed,50,4147
24000,almost,50,2368
24100,random,0,9789
24100,reversed,0,6777
24100,almost,0,6241
24100,random,5,6791
24100,reversed,5,3530
24100,almost,5,3604
24100,random,10,4951
24100,reversed,10,2957
24100,almost,10,3122
24100,random,20,5213
24100,reversed,20,2699
24100,almost,20,2799
24100,random,30,4644
24100,reversed,30,3037
24100,almost,30,2726
24100,random,50,5223
24100,reversed,50,4645
24100,almost,50,2186
24200,random,0,8260
24200,reversed,0,5801
24200,almost,0,6209
24200,random,5,5397
24200,reversed,5,3569
24200,almost,5,4048
24200,random,10,5500
24200,reversed,10,2912
24200,almost,10,3146
24200,random,20,4541
24200,reversed,20,2591
24200,almost,20,2766
24200,random,30,4514
24200,reversed,30,2951
24200,almost,30,2760
24200,random,50,5281
24200,reversed,50,3660
24200,almost,50,2299
24300,random,0,9136
24300,reversed,0,5888
24300,almost,0,5635
24300,random,5,5522
24300,reversed,5,3700
24300,almost,5,3505
24300,random,10,5188
24300,reversed,10,3209
24300,almost,10,3628
24300,random,20,4867
24300,reversed,20,2946
24300,almost,20,3016
24300,random,30,4971
24300,reversed,30,3062
24300,almost,30,2372
24300,random,50,4653
24300,reversed,50,3986
24300,almost,50,2594
24400,random,0,7857
24400,reversed,0,5319
24400,almost,0,6007
24400,random,5,5225
24400,reversed,5,3501
24400,almost,5,3630
24400,random,10,5360
24400,reversed,10,2797
24400,almost,10,3333
24400,random,20,4860
24400,reversed,20,2693
24400,almost,20,2621
24400,random,30,5007
24400,reversed,30,3069
24400,almost,30,2697
24400,random,50,4557
24400,reversed,50,3943
24400,almost,50,2398
24500,random,0,16005
24500,reversed,0,11090
24500,almost,0,6256
24500,random,5,6846
24500,reversed,5,3930
24500,almost,5,3765
24500,random,10,5464
24500,reversed,10,3579
24500,almost,10,3528
24500,random,20,5952
24500,reversed,20,3168
24500,almost,20,3210
24500,random,30,5029
24500,reversed,30,3016
24500,almost,30,2409
24500,random,50,5295
24500,reversed,50,4338
24500,almost,50,2304
24600,random,0,8304
24600,reversed,0,8336
24600,almost,0,5923
24600,random,5,5973
24600,reversed,5,4339
24600,almost,5,4024
24600,random,10,5804
24600,reversed,10,3278
24600,almost,10,3311
24600,random,20,5535
24600,reversed,20,2813
24600,almost,20,3051
24600,random,30,5581
24600,reversed,30,2822
24600,almost,30,2665
24600,random,50,5369
24600,reversed,50,3996
24600,almost,50,2535
24700,random,0,8618
24700,reversed,0,5549
24700,almost,0,5565
24700,random,5,5975
24700,reversed,5,3893
24700,almost,5,4017
24700,random,10,5061
24700,reversed,10,3280
24700,almost,10,3481
24700,random,20,4560
24700,reversed,20,2656
24700,almost,20,2754
24700,random,30,4968
24700,reversed,30,2737
24700,almost,30,2631
24700,random,50,5559
24700,reversed,50,7716
24700,almost,50,2544
24800,random,0,9530
24800,reversed,0,5999
24800,almost,0,5776
24800,random,5,5673
24800,reversed,5,3939
24800,almost,5,3692
24800,random,10,5297
24800,reversed,10,2966
24800,almost,10,3446
24800,random,20,4983
24800,reversed,20,2677
24800,almost,20,2773
24800,random,30,4890
24800,reversed,30,2776
24800,almost,30,2743
24800,random,50,5185
24800,reversed,50,4108
24800,almost,50,2411
24900,random,0,8448
24900,reversed,0,6027
24900,almost,0,5716
24900,random,5,5831
24900,reversed,5,3951
24900,almost,5,3658
24900,random,10,5650
24900,reversed,10,3870
24900,almost,10,3710
24900,random,20,5232
24900,reversed,20,2949
24900,almost,20,3459
24900,random,30,5216
24900,reversed,30,3101
24900,almost,30,2543
24900,random,50,5312
24900,reversed,50,4514
24900,almost,50,2359
25000,random,0,8949
25000,reversed,0,6375
25000,almost,0,6336
25000,random,5,5806
25000,reversed,5,3616
25000,almost,5,3780
25000,random,10,5557
25000,reversed,10,3139
25000,almost,10,3170
25000,random,20,5680
25000,reversed,20,2989
25000,almost,20,2888
25000,random,30,4945
25000,reversed,30,2869
25000,almost,30,2506
25000,random,50,5310
25000,reversed,50,3954
25000,almost,50,2307
25100,random,0,8496
25100,reversed,0,6026
25100,almost,0,5887
25100,random,5,5835
25100,reversed,5,3813
25100,almost,5,4132
25100,random,10,5777
25100,reversed,10,3106
25100,almost,10,3845
25100,random,20,6044
25100,reversed,20,2794
25100,almost,20,2931
25100,random,30,4911
25100,reversed,30,2848
25100,almost,30,2548
25100,random,50,5268
25100,reversed,50,4097
25100,almost,50,2198
25200,random,0,8509
25200,reversed,0,6047
25200,almost,0,5939
25200,random,5,5606
25200,reversed,5,4395
25200,almost,5,3685
25200,random,10,5206
25200,reversed,10,3081
25200,almost,10,3479
25200,random,20,5396
25200,reversed,20,3089
25200,almost,20,2769
25200,random,30,5139
25200,reversed,30,3033
25200,almost,30,2445
25200,random,50,5335
25200,reversed,50,4227
25200,almost,50,2428
25300,random,0,8205
25300,reversed,0,6257
25300,almost,0,5921
25300,random,5,6283
25300,reversed,5,3514
25300,almost,5,4169
25300,random,10,5503
25300,reversed,10,3287
25300,almost,10,3375
25300,random,20,4659
25300,reversed,20,2749
25300,almost,20,5304
25300,random,30,5093
25300,reversed,30,2953
25300,almost,30,2449
25300,random,50,6035
25300,reversed,50,4342
25300,almost,50,2256
25400,random,0,8130
25400,reversed,0,5648
25400,almost,0,5858
25400,random,5,5797
25400,reversed,5,3568
25400,almost,5,4032
25400,random,10,5569
25400,reversed,10,3162
25400,almost,10,3209
25400,random,20,4786
25400,reversed,20,2995
25400,almost,20,3120
25400,random,30,5172
25400,reversed,30,3227
25400,almost,30,2456
25400,random,50,5030
25400,reversed,50,4069
25400,almost,50,2669
25500,random,0,8467
25500,reversed,0,5925
25500,almost,0,6391
25500,random,5,5724
25500,reversed,5,3743
25500,almost,5,3935
25500,random,10,5749
25500,reversed,10,3381
25500,almost,10,3729
25500,random,20,4860
25500,reversed,20,3136
25500,almost,20,2901
25500,random,30,4904
25500,reversed,30,3158
25500,almost,30,2684
25500,random,50,5399
25500,reversed,50,4362
25500,almost,50,2566
25600,random,0,8205
25600,reversed,0,5343
25600,almost,0,5999
25600,random,5,6159
25600,reversed,5,3943
25600,almost,5,4267
25600,random,10,5535
25600,reversed,10,2953
25600,almost,10,3446
25600,random,20,5413
25600,reversed,20,3093
25600,almost,20,3643
25600,random,30,4890
25600,reversed,30,3077
25600,almost,30,2686
25600,random,50,5724
25600,reversed,50,4125
25600,almost,50,2303
25700,random,0,8865
25700,reversed,0,6491
25700,almost,0,6156
25700,random,5,5823
25700,reversed,5,3715
25700,almost,5,4060
25700,random,10,5754
25700,reversed,10,3317
25700,almost,10,3368
25700,random,20,4786
25700,reversed,20,2886
25700,almost,20,3091
25700,random,30,4967
25700,reversed,30,3001
25700,almost,30,2546
25700,random,50,5084
25700,reversed,50,4141
25700,almost,50,2563
25800,random,0,9319
25800,reversed,0,5734
25800,almost,0,6273
25800,random,5,6804
25800,reversed,5,3734
25800,almost,5,4182
25800,random,10,5392
25800,reversed,10,3252
25800,almost,10,3297
25800,random,20,4978
25800,reversed,20,2902
25800,almost,20,3034
25800,random,30,4864
25800,reversed,30,3175
25800,almost,30,2496
25800,random,50,5162
25800,reversed,50,3721
25800,almost,50,2414
25900,random,0,8768
25900,reversed,0,6046
25900,almost,0,6464
25900,random,5,5990
25900,reversed,5,4028
25900,almost,5,4072
25900,random,10,5408
25900,reversed,10,2925
25900,almost,10,3512
25900,random,20,5000
25900,reversed,20,3020
25900,almost,20,3175
25900,random,30,5268
25900,reversed,30,3221
25900,almost,30,2539
25900,random,50,5234
25900,reversed,50,3781
25900,almost,50,2724
26000,random,0,8342
26000,reversed,0,6074
26000,almost,0,6467
26000,random,5,5611
26000,reversed,5,3785
26000,almost,5,4446
26000,random,10,5328
26000,reversed,10,3166
26000,almost,10,3267
26000,random,20,4947
26000,reversed,20,3678
26000,almost,20,2947
26000,random,30,4957
26000,reversed,30,3364
26000,almost,30,2898
26000,random,50,5658
26000,reversed,50,3336
26000,almost,50,2843
26100,random,0,9150
26100,reversed,0,5837
26100,almost,0,6241
26100,random,5,5882
26100,reversed,5,4024
26100,almost,5,4290
26100,random,10,5902
26100,reversed,10,2992
26100,almost,10,3566
26100,random,20,5593
26100,reversed,20,2872
26100,almost,20,2978
26100,random,30,5514
26100,reversed,30,3239
26100,almost,30,2577
26100,random,50,6034
26100,reversed,50,3173
26100,almost,50,2552
26200,random,0,8183
26200,reversed,0,7270
26200,almost,0,6896
26200,random,5,5918
26200,reversed,5,3540
26200,almost,5,4287
26200,random,10,5331
26200,reversed,10,3377
26200,almost,10,3682
26200,random,20,5023
26200,reversed,20,3160
26200,almost,20,2974
26200,random,30,4986
26200,reversed,30,3413
26200,almost,30,2697
26200,random,50,5060
26200,reversed,50,3178
26200,almost,50,2819
26300,random,0,8645
26300,reversed,0,5634
26300,almost,0,5983
26300,random,5,6200
26300,reversed,5,4025
26300,almost,5,4236
26300,random,10,5751
26300,reversed,10,3317
26300,almost,10,3682
26300,random,20,5394
26300,reversed,20,2819
26300,almost,20,3052
26300,random,30,4945
26300,reversed,30,3718
26300,almost,30,3004
26300,random,50,4839
26300,reversed,50,3272
26300,almost,50,2589
26400,random,0,9038
26400,reversed,0,6285
26400,almost,0,6176
26400,random,5,6279
26400,reversed,5,4006
26400,almost,5,4340
26400,random,10,5430
26400,reversed,10,2979
26400,almost,10,3771
26400,random,20,5390
26400,reversed,20,2814
26400,almost,20,3213
26400,random,30,4766
26400,reversed,30,3346
26400,almost,30,2868
26400,random,50,4714
26400,reversed,50,3255
26400,almost,50,2830
26500,random,0,9104
26500,reversed,0,6365
26500,almost,0,6517
26500,random,5,7139
26500,reversed,5,3980
26500,almost,5,4242
26500,random,10,5637
26500,reversed,10,3068
26500,almost,10,3572
26500,random,20,5519
26500,reversed,20,3113
26500,almost,20,3365
26500,random,30,4944
26500,reversed,30,3272
26500,almost,30,2567
26500,random,50,5092
26500,reversed,50,3854
26500,almost,50,2822
26600,random,0,9135
26600,reversed,0,5892
26600,almost,0,6134
26600,random,5,6265
26600,reversed,5,4126
26600,almost,5,4142
26600,random,10,5357
26600,reversed,10,3457
26600,almost,10,4161
26600,random,20,5637
26600,reversed,20,3048
26600,almost,20,3293
26600,random,30,5119
26600,reversed,30,3614
26600,almost,30,2575
26600,random,50,5361
26600,reversed,50,3196
26600,almost,50,2554
26700,random,0,8717
26700,reversed,0,5832
26700,almost,0,6080
26700,random,5,5935
26700,reversed,5,3765
26700,almost,5,4041
26700,random,10,5661
26700,reversed,10,3385
26700,almost,10,3940
26700,random,20,5457
26700,reversed,20,3190
26700,almost,20,3318
26700,random,30,5484
26700,reversed,30,3028
26700,almost,30,2853
26700,random,50,4884
26700,reversed,50,3544
26700,almost,50,2904
26800,random,0,8517
26800,reversed,0,5647
26800,almost,0,6036
26800,random,5,6074
26800,reversed,5,3912
26800,almost,5,4227
26800,random,10,6684
26800,reversed,10,3189
26800,almost,10,3573
26800,random,20,5157
26800,reversed,20,2959
26800,almost,20,3299
26800,random,30,5614
26800,reversed,30,3506
26800,almost,30,2915
26800,random,50,5496
26800,reversed,50,3428
26800,almost,50,2530
26900,random,0,8513
26900,reversed,0,6169
26900,almost,0,6088
26900,random,5,6138
26900,reversed,5,3611
26900,almost,5,3986
26900,random,10,6044
26900,reversed,10,3399
26900,almost,10,3449
26900,random,20,5084
26900,reversed,20,2939
26900,almost,20,3014
26900,random,30,5735
26900,reversed,30,3421
26900,almost,30,4239
26900,random,50,6104
26900,reversed,50,3416
26900,almost,50,2735
27000,random,0,9921
27000,reversed,0,6438
27000,almost,0,6116
27000,random,5,6427
27000,reversed,5,4053
27000,almost,5,4287
27000,random,10,6274
27000,reversed,10,3181
27000,almost,10,3546
27000,random,20,5342
27000,reversed,20,2907
27000,almost,20,3115
27000,random,30,5755
27000,reversed,30,3080
27000,almost,30,2606
27000,random,50,5563
27000,reversed,50,3463
27000,almost,50,2864
27100,random,0,8814
27100,reversed,0,5735
27100,almost,0,6013
27100,random,5,6251
27100,reversed,5,3906
27100,almost,5,4271
27100,random,10,5483
27100,reversed,10,3520
27100,almost,10,3734
27100,random,20,5177
27100,reversed,20,3169
27100,almost,20,3094
27100,random,30,5665
27100,reversed,30,3275
27100,almost,30,2694
27100,random,50,5255
27100,reversed,50,3551
27100,almost,50,2908
27200,random,0,10573
27200,reversed,0,6112
27200,almost,0,6453
27200,random,5,6392
27200,reversed,5,4020
27200,almost,5,3952
27200,random,10,5760
27200,reversed,10,3298
27200,almost,10,3851
27200,random,20,5533
27200,reversed,20,3067
27200,almost,20,3328
27200,random,30,5060
27200,reversed,30,3440
27200,almost,30,2964
27200,random,50,5489
27200,reversed,50,3242
27200,almost,50,2752
27300,random,0,9182
27300,reversed,0,5949
27300,almost,0,6495
27300,random,5,6076
27300,reversed,5,3750
27300,almost,5,4443
27300,random,10,5554
27300,reversed,10,3391
27300,almost,10,3703
27300,random,20,5656
27300,reversed,20,2878
27300,almost,20,3105
27300,random,30,5526
27300,reversed,30,3483
27300,almost,30,3129
27300,random,50,5708
27300,reversed,50,3249
27300,almost,50,3021
27400,random,0,9867
27400,reversed,0,6168
27400,almost,0,8488
27400,random,5,6965
27400,reversed,5,4047
27400,almost,5,4569
27400,random,10,6085
27400,reversed,10,3945
27400,almost,10,3583
27400,random,20,5551
27400,reversed,20,2910
27400,almost,20,3280
27400,random,30,5314
27400,reversed,30,3379
27400,almost,30,2761
27400,random,50,5326
27400,reversed,50,3362
27400,almost,50,3011
27500,random,0,8443
27500,reversed,0,6173
27500,almost,0,6944
27500,random,5,6623
27500,reversed,5,5150
27500,almost,5,4206
27500,random,10,5474
27500,reversed,10,3224
27500,almost,10,3451
27500,random,20,5011
27500,reversed,20,3083
27500,almost,20,3024
27500,random,30,5244
27500,reversed,30,3540
27500,almost,30,2840
27500,random,50,5817
27500,reversed,50,3395
27500,almost,50,2972
27600,random,0,8889
27600,reversed,0,6201
27600,almost,0,6336
27600,random,5,6187
27600,reversed,5,4166
27600,almost,5,4317
27600,random,10,5876
27600,reversed,10,3173
27600,almost,10,3708
27600,random,20,5870
27600,reversed,20,2883
27600,almost,20,3064
27600,random,30,5233
27600,reversed,30,3417
27600,almost,30,2690
27600,random,50,5418
27600,reversed,50,4900
27600,almost,50,2848
27700,random,0,9130
27700,reversed,0,6196
27700,almost,0,5931
27700,random,5,6358
27700,reversed,5,4047
27700,almost,5,4212
27700,random,10,5805
27700,reversed,10,3773
27700,almost,10,4729
27700,random,20,5585
27700,reversed,20,3388
27700,almost,20,2938
27700,random,30,5406
27700,reversed,30,3388
27700,almost,30,2642
27700,random,50,5216
27700,reversed,50,3450
27700,almost,50,2748
27800,random,0,8790
27800,reversed,0,6315
27800,almost,0,6667
27800,random,5,6558
27800,reversed,5,4305
27800,almost,5,4426
27800,random,10,5890
27800,reversed,10,3647
27800,almost,10,3528
27800,random,20,5449
27800,reversed,20,3098
27800,almost,20,2966
27800,random,30,5295
27800,reversed,30,3264
27800,almost,30,2709
27800,random,50,5574
27800,reversed,50,4093
27800,almost,50,2697
27900,random,0,9875
27900,reversed,0,6258
27900,almost,0,6986
27900,random,5,7410
27900,reversed,5,4304
27900,almost,5,4309
27900,random,10,5568
27900,reversed,10,3469
27900,almost,10,3596
27900,random,20,5415
27900,reversed,20,4158
27900,almost,20,4538
27900,random,30,6921
27900,reversed,30,3957
27900,almost,30,3039
27900,random,50,5570
27900,reversed,50,3677
27900,almost,50,2849
28000,random,0,9190
28000,reversed,0,6706
28000,almost,0,6461
28000,random,5,6934
28000,reversed,5,4108
28000,almost,5,4062
28000,random,10,5919
28000,reversed,10,3571
28000,almost,10,3465
28000,random,20,5610
28000,reversed,20,3048
28000,almost,20,3651
28000,random,30,5710
28000,reversed,30,4864
28000,almost,30,3150
28000,random,50,6167
28000,reversed,50,3862
28000,almost,50,2715
28100,random,0,9335
28100,reversed,0,6517
28100,almost,0,6833
28100,random,5,6332
28100,reversed,5,3939
28100,almost,5,4869
28100,random,10,5962
28100,reversed,10,3349
28100,almost,10,3714
28100,random,20,5312
28100,reversed,20,3099
28100,almost,20,3356
28100,random,30,5794
28100,reversed,30,3682
28100,almost,30,2963
28100,random,50,5231
28100,reversed,50,3341
28100,almost,50,2752
28200,random,0,10415
28200,reversed,0,6433
28200,almost,0,6485
28200,random,5,6543
28200,reversed,5,4623
28200,almost,5,4752
28200,random,10,5750
28200,reversed,10,3474
28200,almost,10,3726
28200,random,20,6100
28200,reversed,20,2966
28200,almost,20,3654
28200,random,30,5212
28200,reversed,30,3280
28200,almost,30,3684
28200,random,50,5515
28200,reversed,50,3338
28200,almost,50,3100
28300,random,0,9774
28300,reversed,0,6509
28300,almost,0,6507
28300,random,5,6344
28300,reversed,5,3880
28300,almost,5,4533
28300,random,10,6154
28300,reversed,10,3457
28300,almost,10,3468
28300,random,20,5555
28300,reversed,20,3022
28300,almost,20,3282
28300,random,30,5933
28300,reversed,30,3302
28300,almost,30,2974
28300,random,50,6399
28300,reversed,50,3671
28300,almost,50,2874
28400,random,0,10915
28400,reversed,0,6015
28400,almost,0,6591
28400,random,5,6585
28400,reversed,5,4127
28400,almost,5,4411
28400,random,10,6025
28400,reversed,10,3369
28400,almost,10,3671
28400,random,20,5365
28400,reversed,20,3162
28400,almost,20,3471
28400,random,30,6057
28400,reversed,30,3471
28400,almost,30,2957
28400,random,50,5803
28400,reversed,50,3496
28400,almost,50,3177
28500,random,0,9208
28500,reversed,0,6359
28500,almost,0,6603
28500,random,5,6252
28500,reversed,5,4082
28500,almost,5,4301
28500,random,10,6121
28500,reversed,10,3612
28500,almost,10,3932
28500,random,20,5733
28500,reversed,20,3778
28500,almost,20,3245
28500,random,30,5462
28500,reversed,30,3492
28500,almost,30,2848
28500,random,50,5618
28500,reversed,50,3675
28500,almost,50,2878
28600,random,0,10938
28600,reversed,0,6281
28600,almost,0,6439
28600,random,5,6222
28600,reversed,5,4916
28600,almost,5,4436
28600,random,10,6906
28600,reversed,10,3750
28600,almost,10,3689
28600,random,20,6065
28600,reversed,20,3003
28600,almost,20,3417
28600,random,30,5738
28600,reversed,30,4192
28600,almost,30,2824
28600,random,50,6117
28600,reversed,50,3781
28600,almost,50,2760
28700,random,0,8906
28700,reversed,0,7846
28700,almost,0,6397
28700,random,5,6603
28700,reversed,5,4253
28700,almost,5,4140
28700,random,10,5718
28700,reversed,10,3615
28700,almost,10,3903
28700,random,20,5259
28700,reversed,20,3289
28700,almost,20,3028
28700,random,30,5385
28700,reversed,30,3376
28700,almost,30,2936
28700,random,50,5660
28700,reversed,50,3735
28700,almost,50,3168
28800,random,0,8670
28800,reversed,0,6442
28800,almost,0,6985
28800,random,5,7017
28800,reversed,5,4637
28800,almost,5,4456
28800,random,10,6200
28800,reversed,10,3415
28800,almost,10,3635
28800,random,20,5670
28800,reversed,20,3310
28800,almost,20,3068
28800,random,30,5649
28800,reversed,30,3389
28800,almost,30,3060
28800,random,50,5965
28800,reversed,50,3669
28800,almost,50,3051
28900,random,0,8890
28900,reversed,0,6157
28900,almost,0,6532
28900,random,5,6675
28900,reversed,5,3900
28900,almost,5,4164
28900,random,10,5882
28900,reversed,10,3675
28900,almost,10,3963
28900,random,20,5828
28900,reversed,20,3319
28900,almost,20,3201
28900,random,30,5745
28900,reversed,30,3436
28900,almost,30,3063
28900,random,50,5817
28900,reversed,50,3643
28900,almost,50,3059
29000,random,0,9065
29000,reversed,0,6528
29000,almost,0,6857
29000,random,5,7026
29000,reversed,5,4405
29000,almost,5,4071
29000,random,10,5950
29000,reversed,10,3333
29000,almost,10,3927
29000,random,20,5588
29000,reversed,20,3492
29000,almost,20,3542
29000,random,30,5247
29000,reversed,30,3514
