size,type,threshold,median_us
2000,almost,50,122
2100,random,0,484
2100,reversed,0,378
2100,almost,0,376
2100,random,5,326
2100,reversed,5,206
2100,almost,5,211
2100,random,10,283
2100,reversed,10,178
2100,almost,10,176
2100,random,20,393
2100,reversed,20,164
2100,almost,20,148
2100,random,30,260
2100,reversed,30,163
2100,almost,30,148
2100,random,50,270
2100,reversed,50,198
2100,almost,50,126
2200,random,0,597
2200,reversed,0,384
2200,almost,0,390
2200,random,5,333
2200,reversed,5,212
2200,almost,5,219
2200,random,10,303
2200,reversed,10,178
2200,almost,10,251
2200,random,20,272
2200,reversed,20,175
2200,almost,20,153
2200,random,30,270
2200,reversed,30,172
2200,almost,30,155
2200,random,50,280
2200,reversed,50,216
2200,almost,50,130
2300,random,0,604
2300,reversed,0,407
2300,almost,0,428
2300,random,5,365
2300,reversed,5,223
2300,almost,5,229
2300,random,10,395
2300,reversed,10,192
2300,almost,10,191
2300,random,20,293
2300,reversed,20,181
2300,almost,20,161
2300,random,30,297
2300,reversed,30,186
2300,almost,30,167
2300,random,50,306
2300,reversed,50,337
2300,almost,50,147
2400,random,0,557
2400,reversed,0,428
2400,almost,0,440
2400,random,5,359
2400,reversed,5,318
2400,almost,5,233
2400,random,10,317
2400,reversed,10,192
2400,almost,10,196
2400,random,20,307
2400,reversed,20,189
2400,almost,20,164
2400,random,30,304
2400,reversed,30,319
2400,almost,30,170
2400,random,50,311
2400,reversed,50,250
2400,almost,50,145
2500,random,0,589
2500,reversed,0,443
2500,almost,0,579
2500,random,5,385
2500,reversed,5,245
2500,almost,5,245
2500,random,10,338
2500,reversed,10,206
2500,almost,10,204
2500,random,20,363
2500,reversed,20,209
2500,almost,20,176
2500,random,30,333
2500,reversed,30,203
2500,almost,30,175
2500,random,50,335
2500,reversed,50,267
2500,almost,50,149
2600,random,0,623
2600,reversed,0,472
2600,almost,0,472
2600,random,5,395
2600,reversed,5,251
2600,almost,5,315
2600,random,10,377
2600,reversed,10,219
2600,almost,10,219
2600,random,20,344
2600,reversed,20,214
2600,almost,20,191
2600,random,30,340
2600,reversed,30,216
2600,almost,30,307
2600,random,50,360
2600,reversed,50,290
2600,almost,50,156
2700,random,0,639
2700,reversed,0,484
2700,almost,0,492
2700,random,5,422
2700,reversed,5,271
2700,almost,5,281
2700,random,10,390
2700,reversed,10,239
2700,almost,10,267
2700,random,20,372
2700,reversed,20,221
2700,almost,20,219
2700,random,30,355
2700,reversed,30,226
2700,almost,30,186
2700,random,50,383
2700,reversed,50,379
2700,almost,50,163
2800,random,0,660
2800,reversed,0,509
2800,almost,0,518
2800,random,5,471
2800,reversed,5,286
2800,almost,5,302
2800,random,10,416
2800,reversed,10,258
2800,almost,10,261
2800,random,20,475
2800,reversed,20,233
2800,almost,20,229
2800,random,30,366
2800,reversed,30,236
2800,almost,30,195
2800,random,50,388
2800,reversed,50,324
2800,almost,50,234
2900,random,0,690
2900,reversed,0,531
2900,almost,0,534
2900,random,5,597
2900,reversed,5,314
2900,almost,5,318
2900,random,10,445
2900,reversed,10,269
2900,almost,10,288
2900,random,20,401
2900,reversed,20,314
2900,almost,20,232
2900,random,30,394
2900,reversed,30,242
2900,almost,30,202
2900,random,50,401
2900,reversed,50,343
2900,almost,50,175
3000,random,0,714
3000,reversed,0,548
3000,almost,0,578
3000,random,5,576
3000,reversed,5,333
3000,almost,5,337
3000,random,10,447
3000,reversed,10,279
3000,almost,10,285
3000,random,20,418
3000,reversed,20,317
3000,almost,20,241
3000,random,30,398
3000,reversed,30,262
3000,almost,30,204
3000,random,50,421
3000,reversed,50,370
3000,almost,50,209
3100,random,0,746
3100,reversed,0,571
3100,almost,0,581
3100,random,5,912
3100,reversed,5,662
3100,almost,5,361
3100,random,10,838
3100,reversed,10,574
3100,almost,10,569
3100,random,20,740
3100,reversed,20,338
3100,almost,20,261
3100,random,30,447
3100,reversed,30,495
3100,almost,30,215
3100,random,50,490
3100,reversed,50,400
3100,almost,50,187
3200,random,0,760
3200,reversed,0,658
3200,almost,0,602
3200,random,5,545
3200,reversed,5,361
3200,almost,5,368
3200,random,10,484
3200,reversed,10,350
3200,almost,10,305
3200,random,20,438
3200,reversed,20,262
3200,almost,20,255
3200,random,30,422
3200,reversed,30,287
3200,almost,30,246
3200,random,50,465
3200,reversed,50,412
3200,almost,50,192
3300,random,0,786
3300,reversed,0,607
3300,almost,0,622
3300,random,5,611
3300,reversed,5,358
3300,almost,5,449
3300,random,10,489
3300,reversed,10,300
3300,almost,10,312
3300,random,20,452
3300,reversed,20,269
3300,almost,20,266
3300,random,30,457
3300,reversed,30,305
3300,almost,30,235
3300,random,50,446
3300,reversed,50,301
3300,almost,50,236
3400,random,0,1048
3400,reversed,0,607
3400,almost,0,632
3400,random,5,893
3400,reversed,5,371
3400,almost,5,388
3400,random,10,510
3400,reversed,10,320
3400,almost,10,476
3400,random,20,463
3400,reversed,20,277
3400,almost,20,271
3400,random,30,465
3400,reversed,30,315
3400,almost,30,319
3400,random,50,460
3400,reversed,50,312
3400,almost,50,232
3500,random,0,837
3500,reversed,0,649
3500,almost,0,644
3500,random,5,591
3500,reversed,5,383
3500,almost,5,405
3500,random,10,525
3500,reversed,10,319
3500,almost,10,326
3500,random,20,481
3500,reversed,20,448
3500,almost,20,281
3500,random,30,477
3500,reversed,30,328
3500,almost,30,240
3500,random,50,486
3500,reversed,50,332
3500,almost,50,242
3600,random,0,847
3600,reversed,0,645
3600,almost,0,656
3600,random,5,600
3600,reversed,5,384
3600,almost,5,406
3600,random,10,587
3600,reversed,10,359
3600,almost,10,340
3600,random,20,507
3600,reversed,20,300
3600,almost,20,287
3600,random,30,497
3600,reversed,30,338
3600,almost,30,245
3600,random,50,496
3600,reversed,50,340
3600,almost,50,248
3700,random,0,878
3700,reversed,0,680
3700,almost,0,678
3700,random,5,672
3700,reversed,5,416
3700,almost,5,422
3700,random,10,573
3700,reversed,10,464
3700,almost,10,341
3700,random,20,516
3700,reversed,20,307
3700,almost,20,292
3700,random,30,511
3700,reversed,30,359
3700,almost,30,252
3700,random,50,511
3700,reversed,50,350
3700,almost,50,257
3800,random,0,925
3800,reversed,0,716
3800,almost,0,696
3800,random,5,798
3800,reversed,5,794
3800,almost,5,803
3800,random,10,1006
3800,reversed,10,639
3800,almost,10,646
3800,random,20,641
3800,reversed,20,311
3800,almost,20,301
3800,random,30,524
3800,reversed,30,364
3800,almost,30,259
3800,random,50,527
3800,reversed,50,364
3800,almost,50,256
3900,random,0,927
3900,reversed,0,747
3900,almost,0,709
3900,random,5,658
3900,reversed,5,414
3900,almost,5,430
3900,random,10,583
3900,reversed,10,350
3900,almost,10,361
3900,random,20,550
3900,reversed,20,362
3900,almost,20,307
3900,random,30,539
3900,reversed,30,361
3900,almost,30,285
3900,random,50,545
3900,reversed,50,387
3900,almost,50,268
4000,random,0,967
4000,reversed,0,718
4000,almost,0,734
4000,random,5,761
4000,reversed,5,422
4000,almost,5,506
4000,random,10,596
4000,reversed,10,369
4000,almost,10,365
4000,random,20,555
4000,reversed,20,403
4000,almost,20,318
4000,random,30,554
4000,reversed,30,330
4000,almost,30,318
4000,random,50,565
4000,reversed,50,394
4000,almost,50,275
4100,random,0,988
4100,reversed,0,741
4100,almost,0,752
4100,random,5,682
4100,reversed,5,428
4100,almost,5,447
4100,random,10,625
4100,reversed,10,371
4100,almost,10,379
4100,random,20,657
4100,reversed,20,344
4100,almost,20,320
4100,random,30,569
4100,reversed,30,345
4100,almost,30,328
4100,random,50,626
4100,reversed,50,413
4100,almost,50,280
4200,random,0,994
4200,reversed,0,764
4200,almost,0,770
4200,random,5,714
4200,reversed,5,441
4200,almost,5,458
4200,random,10,629
4200,reversed,10,376
4200,almost,10,408
4200,random,20,600
4200,reversed,20,365
4200,almost,20,329
4200,random,30,638
4200,reversed,30,348
4200,almost,30,332
4200,random,50,595
4200,reversed,50,435
4200,almost,50,288
4300,random,0,1038
4300,reversed,0,774
4300,almost,0,1010
4300,random,5,725
4300,reversed,5,452
4300,almost,5,467
4300,random,10,705
4300,reversed,10,379
4300,almost,10,390
4300,random,20,608
4300,reversed,20,368
4300,almost,20,346
4300,random,30,603
4300,reversed,30,359
4300,almost,30,337
4300,random,50,617
4300,reversed,50,447
4300,almost,50,292
4400,random,0,1076
4400,reversed,0,803
4400,almost,0,819
4400,random,5,732
4400,reversed,5,468
4400,almost,5,472
4400,random,10,667
4400,reversed,10,385
4400,almost,10,400
4400,random,20,729
4400,reversed,20,379
4400,almost,20,344
4400,random,30,616
4400,reversed,30,393
4400,almost,30,406
4400,random,50,626
4400,reversed,50,458
4400,almost,50,300
4500,random,0,1133
4500,reversed,0,824
4500,almost,0,842
4500,random,5,745
4500,reversed,5,473
4500,almost,5,508
4500,random,10,677
4500,reversed,10,403
4500,almost,10,409
4500,random,20,636
4500,reversed,20,382
4500,almost,20,359
4500,random,30,634
4500,reversed,30,393
4500,almost,30,353
4500,random,50,652
4500,reversed,50,482
4500,almost,50,307
4600,random,0,1125
4600,reversed,0,841
4600,almost,0,865
4600,random,5,816
4600,reversed,5,488
4600,almost,5,503
4600,random,10,684
4600,reversed,10,410
4600,almost,10,420
4600,random,20,649
4600,reversed,20,393
4600,almost,20,356
4600,random,30,658
4600,reversed,30,393
4600,almost,30,361
4600,random,50,668
4600,reversed,50,489
4600,almost,50,314
4700,random,0,1146
4700,reversed,0,1039
4700,almost,0,882
4700,random,5,777
4700,reversed,5,484
4700,almost,5,557
4700,random,10,705
4700,reversed,10,415
4700,almost,10,427
4700,random,20,673
4700,reversed,20,415
4700,almost,20,368
4700,random,30,672
4700,reversed,30,408
4700,almost,30,370
4700,random,50,687
4700,reversed,50,523
