Step,Exact_Count,Estimated_Count
100,100,103.01
200,200,208.94
300,300,303.96
400,400,411.70
500,500,505.57
600,600,603.49
700,700,705.79
800,800,799.61
900,900,881.39
1000,998,983.26
1100,1097,1093.47
1200,1196,1210.45
1300,1296,1309.68
1400,1394,1399.76
1500,1494,1498.53
1600,1592,1607.86
1700,1688,1698.28
1800,1788,1780.24
1900,1885,1869.34
2000,1983,1966.94
2100,2083,2082.44
2200,2182,2186.94
2300,2280,2293.89
2400,2376,2382.13
2500,2474,2619.42
2600,2574,2707.72
2700,2674,2803.08
2800,2772,2908.19
2900,2869,3019.79
3000,2968,3112.46
3100,3066,3235.76
3200,3162,3367.35
3300,3259,3457.03
3400,3357,3554.90
3500,3452,3659.42
3600,3551,3758.37
3700,3648,3848.02
3800,3747,3987.22
3900,3844,4147.79
4000,3943,4278.54
4100,4041,4386.44
4200,4137,4511.57
4300,4235,4623.73
4400,4333,4772.42
4500,4431,4883.76
4600,4528,4984.06
4700,4625,5067.10
4800,4724,5132.65
4900,4822,5228.38
5000,4919,5384.49
5100,5015,5527.73
5200,5113,5642.18
5300,5209,5717.57
5400,5307,5842.26
5500,5406,5948.26
5600,5501,6053.16
5700,5601,6156.04
5800,5701,6226.58
5900,5793,6313.15
6000,5889,6387.37
6100,5985,6496.79
6200,6082,6568.72
6300,6181,6704.37
6400,6279,6745.52
6500,6376,6825.26
6600,6473,6880.62
6700,6570,7069.16
6800,6665,7167.66
6900,6763,7230.09
7000,6861,7265.94
7100,6958,7391.45
7200,7050,7536.90
7300,7148,7662.75
7400,7245,7763.37
7500,7341,7826.19
7600,7438,7901.44
7700,7533,7983.63
7800,7631,8071.38
7900,7727,8182.00
8000,7822,8354.29
8100,7921,8422.68
8200,8017,8505.65
8300,8113,8640.78
8400,8212,8756.57
8500,8310,8897.96
8600,8405,8995.42
8700,8499,9079.02
8800,8594,9208.70
8900,8692,9332.22
9000,8789,9386.79
9100,8884,9442.24
9200,8979,9528.64
9300,9076,9604.83
9400,9170,9691.94
9500,9269,9782.62
9600,9363,9930.03
9700,9461,10035.65
9800,9557,10056.52
9900,9651,10120.72
10000,9746,10151.53
