Step,Exact_Count,Estimated_Count
100,100,99.70
200,200,196.75
300,300,293.25
400,400,392.45
500,499,495.79
600,597,599.90
700,697,695.88
800,797,812.79
900,897,907.74
1000,997,1007.04
1100,1097,1102.23
1200,1195,1216.99
1300,1293,1306.09
1400,1391,1427.60
1500,1491,1579.42
1600,1589,1687.83
1700,1689,1803.25
1800,1784,1907.27
1900,1879,2015.87
2000,1979,2105.63
2100,2077,2204.00
2200,2177,2322.47
2300,2276,2402.82
2400,2374,2490.02
2500,2470,2617.84
2600,2566,2681.05
2700,2663,2749.32
2800,2760,2790.57
2900,2858,2878.15
3000,2956,3001.14
3100,3055,3118.83
3200,3149,3174.52
3300,3245,3277.92
3400,3342,3361.15
3500,3441,3390.61
3600,3539,3502.98
3700,3635,3620.69
3800,3734,3690.04
3900,3833,3834.50
4000,3932,3935.94
4100,4027,4025.39
4200,4122,4114.59
4300,4217,4218.12
4400,4314,4271.97
4500,4411,4348.23
4600,4508,4483.18
4700,4605,4591.27
4800,4700,4672.46
4900,4796,4814.05
5000,4890,4909.98
5100,4988,5001.39
5200,5085,5079.41
5300,5183,5159.04
5400,5280,5201.21
5500,5377,5234.14
5600,5472,5350.56
5700,5570,5416.03
5800,5665,5527.63
5900,5763,5601.10
6000,5862,5698.12
6100,5959,5784.60
6200,6056,5885.09
6300,6153,6038.32
6400,6247,6119.13
6500,6341,6243.17
6600,6438,6387.49
6700,6533,6457.43
6800,6629,6606.54
6900,6723,6697.12
7000,6819,6751.83
7100,6915,6910.80
7200,7006,6994.65
7300,7102,7132.39
7400,7202,7170.46
7500,7300,7268.27
7600,7396,7379.05
7700,7493,7536.17
7800,7586,7653.37
7900,7681,7737.25
8000,7778,7812.26
8100,7875,7868.19
8200,7967,7973.77
8300,8058,8024.72
8400,8157,8099.32
8500,8252,8207.23
8600,8348,8260.86
8700,8445,8383.31
8800,8542,8433.02
8900,8639,8520.32
9000,8733,8551.56
9100,8829,8607.89
9200,8925,8699.45
9300,9022,8789.49
9400,9120,8934.59
9500,9217,9010.55
9600,9315,9081.63
9700,9410,9232.04
9800,9507,9373.42
9900,9599,9540.80
10000,9697,9594.75
