Step,Exact_Count,Estimated_Count
100,100,103.01
200,200,201.61
300,300,297.26
400,400,395.39
500,500,495.79
600,600,601.69
700,699,697.85
800,797,810.59
900,895,907.74
1000,994,1017.79
1100,1093,1135.03
1200,1190,1210.45
1300,1289,1316.89
1400,1389,1411.60
1500,1488,1494.22
1600,1586,1584.10
1700,1684,1672.35
1800,1784,1752.18
1900,1884,1838.77
2000,1982,1953.37
2100,2081,2023.06
2200,2178,2145.47
2300,2277,2275.27
2400,2377,2423.93
2500,2477,2501.46
2600,2577,2653.11
2700,2675,2736.88
2800,2773,2825.97
2900,2870,2900.91
3000,2968,3014.10
3100,3065,3096.10
3200,3162,3204.51
3300,3256,3285.95
3400,3354,3374.47
3500,3452,3489.71
3600,3547,3584.72
3700,3641,3687.37
3800,3739,3762.25
3900,3835,3898.71
4000,3930,3939.85
4100,4026,4007.09
4200,4125,4089.26
4300,4220,4180.48
4400,4318,4245.81
4500,4414,4351.46
4600,4512,4471.58
4700,4608,4554.33
4800,4707,4631.16
4900,4805,4731.30
5000,4900,4878.32
5100,5000,4997.04
5200,5098,5091.22
5300,5191,5161.87
5400,5288,5222.08
5500,5386,5296.87
5600,5483,5385.96
5700,5576,5422.35
5800,5672,5557.91
5900,5769,5685.00
6000,5863,5733.53
6100,5960,5905.80
6200,6057,6015.08
6300,6156,6096.12
6400,6255,6213.03
6500,6353,6281.23
6600,6443,6396.73
6700,6540,6480.63
6800,6634,6545.99
6900,6730,6657.30
7000,6828,6727.11
7100,6927,6810.95
7200,7024,6872.90
7300,7120,7000.90
7400,7218,7097.75
7500,7315,7170.90
7600,7409,7250.20
7700,7503,7303.86
7800,7599,7401.12
7900,7696,7463.63
8000,7794,7578.71
8100,7890,7640.98
8200,7988,7721.51
8300,8085,7834.58
8400,8180,7941.37
8500,8277,8051.12
8600,8374,8086.12
8700,8473,8145.03
8800,8572,8198.55
8900,8669,8336.36
9000,8760,8388.78
9100,8856,8612.15
9200,8951,8789.03
9300,9051,8846.92
9400,9145,8913.73
9500,9241,9037.85
9600,9339,9095.55
9700,9436,9276.81
9800,9536,9429.67
9900,9632,9514.80
10000,9727,9595.99
