Step,Exact_Count,Estimated_Count
100,100,98.60
200,200,199.17
300,300,291.92
400,400,396.86
500,497,486.10
600,596,580.32
700,695,678.27
800,794,758.94
900,892,851.10
1000,991,957.46
1100,1091,1067.62
1200,1191,1153.37
1300,1289,1274.36
1400,1387,1415.57
1500,1485,1511.58
1600,1584,1647.06
1700,1682,1774.57
1800,1780,1863.15
1900,1879,1960.13
2000,1979,2097.84
2100,2077,2145.47
2200,2177,2284.54
2300,2275,2434.66
2400,2374,2596.27
2500,2473,2694.42
2600,2573,2764.51
2700,2672,2852.24
2800,2770,2952.17
2900,2863,3021.16
3000,2957,3106.81
3100,3051,3161.03
3200,3148,3251.81
3300,3248,3369.05
3400,3345,3455.48
3500,3440,3577.03
3600,3534,3699.78
3700,3633,3821.64
3800,3732,3920.64
3900,3830,3991.52
4000,3925,4142.89
4100,4021,4222.76
4200,4118,4395.68
4300,4215,4521.03
4400,4311,4635.01
4500,4407,4785.70
4600,4507,4930.48
4700,4606,5048.09
4800,4703,5149.01
4900,4798,5201.00
5000,4896,5281.09
5100,4991,5435.44
5200,5085,5487.56
5300,5179,5530.08
5400,5273,5658.21
5500,5372,5717.41
5600,5470,5797.97
5700,5565,5931.95
5800,5662,6079.34
5900,5761,6185.88
6000,5858,6293.76
6100,5955,6378.65
6200,6052,6449.53
6300,6147,6599.50
6400,6244,6661.79
6500,6338,6762.40
6600,6436,6821.07
6700,6534,6901.63
6800,6631,6987.91
6900,6726,7097.92
7000,6824,7171.61
7100,6922,7277.38
7200,7019,7352.56
7300,7116,7505.85
7400,7213,7620.59
7500,7308,7676.24
7600,7401,7764.99
7700,7498,7797.55
7800,7597,7879.50
7900,7694,7946.19
8000,7791,8006.22
8100,7890,8087.90
8200,7990,8166.79
8300,8085,8244.42
8400,8180,8336.63
8500,8278,8441.05
8600,8375,8537.55
8700,8472,8657.93
8800,8570,8711.74
8900,8665,8765.44
9000,8761,8993.68
9100,8859,9132.76
9200,8956,9186.98
9300,9052,9270.65
9400,9150,9353.13
9500,9247,9410.70
9600,9343,9562.37
9700,9439,9673.32
9800,9534,9728.79
9900,9629,9811.20
10000,9727,9964.87
