Size,ArrayType,Algorithm,TimeMs,Comparisons
500,Nearly_Sorted,MergeSort,0.2260,5124
500,Nearly_Sorted,QuickSort,0.1176,79087
500,Nearly_Sorted,TernaryQuickSort,0.0127,10728
500,Nearly_Sorted,StringMergeSort,0.2349,12304
500,Nearly_Sorted,MSDRadix,0.0454,0
500,Nearly_Sorted,MSDRadix_Fallback,0.0105,5251
500,Common_Prefix,MergeSort,0.3042,58854
500,Common_Prefix,QuickSort,0.0603,76958
500,Common_Prefix,TernaryQuickSort,0.0235,20579
500,Common_Prefix,StringMergeSort,0.3194,66498
500,Common_Prefix,MSDRadix,0.0850,0
500,Common_Prefix,MSDRadix_Fallback,0.0493,1504
600,Random,MergeSort,0.3286,6122
600,Random,QuickSort,0.0393,7127
600,Random,TernaryQuickSort,0.0208,8489
600,Random,StringMergeSort,0.3276,15744
600,Random,MSDRadix,0.0493,0
600,Random,MSDRadix_Fallback,0.0098,1926
600,Reverse_Sorted,MergeSort,0.2869,4366
600,Reverse_Sorted,QuickSort,0.2418,191046
600,Reverse_Sorted,TernaryQuickSort,0.0162,12384
600,Reverse_Sorted,StringMergeSort,0.2970,9686
600,Reverse_Sorted,MSDRadix,0.0587,0
600,Reverse_Sorted,MSDRadix_Fallback,0.0178,8986
600,Nearly_Sorted,MergeSort,0.2593,6510
600,Nearly_Sorted,QuickSort,0.0846,63280
600,Nearly_Sorted,TernaryQuickSort,0.0130,11385
600,Nearly_Sorted,StringMergeSort,0.2641,15592
600,Nearly_Sorted,MSDRadix,0.0498,0
600,Nearly_Sorted,MSDRadix_Fallback,0.0109,6142
600,Common_Prefix,MergeSort,0.3473,73191
600,Common_Prefix,QuickSort,0.0650,82525
600,Common_Prefix,TernaryQuickSort,0.0268,24448
600,Common_Prefix,StringMergeSort,0.3671,82673
600,Common_Prefix,MSDRadix,0.0966,0
600,Common_Prefix,MSDRadix_Fallback,0.0534,2051
700,Random,MergeSort,0.3545,7419
700,Random,QuickSort,0.0432,8505
700,Random,TernaryQuickSort,0.0238,10954
700,Random,StringMergeSort,0.3599,18933
700,Random,MSDRadix,0.0521,0
700,Random,MSDRadix_Fallback,0.0113,2467
700,Reverse_Sorted,MergeSort,0.3328,5259
700,Reverse_Sorted,QuickSort,0.3024,258006
700,Reverse_Sorted,TernaryQuickSort,0.0192,15448
700,Reverse_Sorted,StringMergeSort,0.3145,11603
700,Reverse_Sorted,MSDRadix,0.0649,0
700,Reverse_Sorted,MSDRadix_Fallback,0.0203,10607
700,Nearly_Sorted,MergeSort,0.3222,7928
700,Nearly_Sorted,QuickSort,0.0945,64887
700,Nearly_Sorted,TernaryQuickSort,0.0248,13870
700,Nearly_Sorted,StringMergeSort,0.3495,18950
700,Nearly_Sorted,MSDRadix,0.0601,0
700,Nearly_Sorted,MSDRadix_Fallback,0.0141,7172
700,Common_Prefix,MergeSort,0.4059,88164
700,Common_Prefix,QuickSort,0.0807,114563
700,Common_Prefix,TernaryQuickSort,0.0265,28908
700,Common_Prefix,StringMergeSort,0.4123,99574
700,Common_Prefix,MSDRadix,0.0978,0
700,Common_Prefix,MSDRadix_Fallback,0.0602,2621
800,Random,MergeSort,0.4341,8777
800,Random,QuickSort,0.0562,10370
800,Random,TernaryQuickSort,0.0329,12015
800,Random,StringMergeSort,0.4301,22215
800,Random,MSDRadix,0.0596,0
800,Random,MSDRadix_Fallback,0.0142,3049
800,Reverse_Sorted,MergeSort,0.3967,6050
