sort_type,size,type,median_us
hybridsort,3900,reversed,315
hybridsort,3900,almost,324
quicksort,4000,random,653
quicksort,4000,reversed,617
quicksort,4000,almost,632
hybridsort,4000,random,579
hybridsort,4000,reversed,315
hybridsort,4000,almost,341
quicksort,4100,random,700
quicksort,4100,reversed,1003
quicksort,4100,almost,623
hybridsort,4100,random,492
hybridsort,4100,reversed,311
hybridsort,4100,almost,412
quicksort,4200,random,895
quicksort,4200,reversed,600
quicksort,4200,almost,571
hybridsort,4200,random,656
hybridsort,4200,reversed,330
hybridsort,4200,almost,324
quicksort,4300,random,730
quicksort,4300,reversed,724
quicksort,4300,almost,654
hybridsort,4300,random,523
hybridsort,4300,reversed,348
hybridsort,4300,almost,330
quicksort,4400,random,734
quicksort,4400,reversed,684
quicksort,4400,almost,669
hybridsort,4400,random,549
hybridsort,4400,reversed,344
hybridsort,4400,almost,451
quicksort,4500,random,747
quicksort,4500,reversed,1043
quicksort,4500,almost,696
hybridsort,4500,random,632
hybridsort,4500,reversed,405
hybridsort,4500,almost,354
quicksort,4600,random,767
quicksort,4600,reversed,706
quicksort,4600,almost,843
hybridsort,4600,random,563
hybridsort,4600,reversed,372
hybridsort,4600,almost,353
quicksort,4700,random,796
quicksort,4700,reversed,735
quicksort,4700,almost,716
hybridsort,4700,random,685
hybridsort,4700,reversed,377
hybridsort,4700,almost,397
quicksort,4800,random,909
quicksort,4800,reversed,776
quicksort,4800,almost,762
hybridsort,4800,random,671
hybridsort,4800,reversed,391
hybridsort,4800,almost,401
quicksort,4900,random,813
quicksort,4900,reversed,1048
quicksort,4900,almost,810
hybridsort,4900,random,604
hybridsort,4900,reversed,376
hybridsort,4900,almost,658
quicksort,5000,random,861
quicksort,5000,reversed,869
quicksort,5000,almost,782
hybridsort,5000,random,638
hybridsort,5000,reversed,406
hybridsort,5000,almost,417
quicksort,5100,random,942
quicksort,5100,reversed,920
quicksort,5100,almost,794
hybridsort,5100,random,867
hybridsort,5100,reversed,450
hybridsort,5100,almost,405
quicksort,5200,random,868
quicksort,5200,reversed,1102
quicksort,5200,almost,906
hybridsort,5200,random,705
hybridsort,5200,reversed,474
hybridsort,5200,almost,449
quicksort,5300,random,1545
quicksort,5300,reversed,847
quicksort,5300,almost,831
hybridsort,5300,random,744
hybridsort,5300,reversed,432
hybridsort,5300,almost,450
quicksort,5400,random,1114
quicksort,5400,reversed,855
quicksort,5400,almost,835
hybridsort,5400,random,900
hybridsort,5400,reversed,456
hybridsort,5400,almost,494
quicksort,5500,random,971
quicksort,5500,reversed,985
quicksort,5500,almost,841
hybridsort,5500,random,730
hybridsort,5500,reversed,470
hybridsort,5500,almost,453
quicksort,5600,random,1116
quicksort,5600,reversed,871
quicksort,5600,almost,927
hybridsort,5600,random,743
hybridsort,5600,reversed,502
hybridsort,5600,almost,491
quicksort,5700,random,964
quicksort,5700,reversed,841
quicksort,5700,almost,912
hybridsort,5700,random,748
hybridsort,5700,reversed,484
hybridsort,5700,almost,523
quicksort,5800,random,998
quicksort,5800,reversed,1071
quicksort,5800,almost,959
hybridsort,5800,random,742
hybridsort,5800,reversed,734
hybridsort,5800,almost,631
quicksort,5900,random,1153
quicksort,5900,reversed,990
quicksort,5900,almost,902
hybridsort,5900,random,1025
hybridsort,5900,reversed,487
hybridsort,5900,almost,475
quicksort,6000,random,1104
quicksort,6000,reversed,1174
quicksort,6000,almost,935
hybridsort,6000,random,754
hybridsort,6000,reversed,506
hybridsort,6000,almost,483
quicksort,6100,random,1043
quicksort,6100,reversed,937
quicksort,6100,almost,1053
hybridsort,6100,random,785
hybridsort,6100,reversed,549
hybridsort,6100,almost,547
quicksort,6200,random,1072
quicksort,6200,reversed,1022
quicksort,6200,almost,1044
hybridsort,6200,random,965
hybridsort,6200,reversed,757
hybridsort,6200,almost,505
quicksort,6300,random,1163
quicksort,6300,reversed,960
quicksort,6300,almost,975
hybridsort,6300,random,877
hybridsort,6300,reversed,649
hybridsort,6300,almost,626
quicksort,6400,random,1091
quicksort,6400,reversed,1014
quicksort,6400,almost,1025
hybridsort,6400,random,823
hybridsort,6400,reversed,767
hybridsort,6400,almost,596
quicksort,6500,random,1183
quicksort,6500,reversed,1071
quicksort,6500,almost,1031
hybridsort,6500,random,889
hybridsort,6500,reversed,569
hybridsort,6500,almost,726
quicksort,6600,random,1376
quicksort,6600,reversed,1040
quicksort,6600,almost,1082
hybridsort,6600,random,871
hybridsort,6600,reversed,586
hybridsort,6600,almost,587
quicksort,6700,random,1146
