sort_type,size,type,median_us
quicksort,16900,almost,2885
hybridsort,16900,random,2627
hybridsort,16900,reversed,1970
hybridsort,16900,almost,1690
quicksort,17000,random,4479
quicksort,17000,reversed,3102
quicksort,17000,almost,3259
hybridsort,17000,random,2539
hybridsort,17000,reversed,1623
hybridsort,17000,almost,1701
quicksort,17100,random,4224
quicksort,17100,reversed,3168
quicksort,17100,almost,2925
hybridsort,17100,random,2517
hybridsort,17100,reversed,1629
hybridsort,17100,almost,1781
quicksort,17200,random,3727
quicksort,17200,reversed,3267
quicksort,17200,almost,3026
hybridsort,17200,random,2712
hybridsort,17200,reversed,1886
hybridsort,17200,almost,1725
quicksort,17300,random,3887
quicksort,17300,reversed,3061
quicksort,17300,almost,3120
hybridsort,17300,random,2619
hybridsort,17300,reversed,1736
hybridsort,17300,almost,1830
quicksort,17400,random,4619
quicksort,17400,reversed,2954
quicksort,17400,almost,2850
hybridsort,17400,random,2776
hybridsort,17400,reversed,1758
hybridsort,17400,almost,1721
quicksort,17500,random,3391
quicksort,17500,reversed,2940
quicksort,17500,almost,2847
hybridsort,17500,random,2599
hybridsort,17500,reversed,2116
hybridsort,17500,almost,1835
quicksort,17600,random,4680
quicksort,17600,reversed,4694
quicksort,17600,almost,3013
hybridsort,17600,random,2638
hybridsort,17600,reversed,1825
hybridsort,17600,almost,1781
quicksort,17700,random,3310
quicksort,17700,reversed,3734
quicksort,17700,almost,3111
hybridsort,17700,random,2609
hybridsort,17700,reversed,1691
hybridsort,17700,almost,1968
quicksort,17800,random,4254
quicksort,17800,reversed,3163
quicksort,17800,almost,3069
hybridsort,17800,random,2868
hybridsort,17800,reversed,1974
hybridsort,17800,almost,1804
quicksort,17900,random,4434
quicksort,17900,reversed,3320
quicksort,17900,almost,3004
hybridsort,17900,random,2664
hybridsort,17900,reversed,1755
hybridsort,17900,almost,1829
quicksort,18000,random,6178
quicksort,18000,reversed,3226
quicksort,18000,almost,3121
hybridsort,18000,random,2725
hybridsort,18000,reversed,1810
hybridsort,18000,almost,3359
quicksort,18100,random,6851
quicksort,18100,reversed,5398
quicksort,18100,almost,3089
hybridsort,18100,random,2624
hybridsort,18100,reversed,2261
hybridsort,18100,almost,1985
quicksort,18200,random,7383
quicksort,18200,reversed,6469
quicksort,18200,almost,6517
hybridsort,18200,random,2762
hybridsort,18200,reversed,1789
hybridsort,18200,almost,1885
quicksort,18300,random,3428
quicksort,18300,reversed,6213
quicksort,18300,almost,6041
hybridsort,18300,random,2748
hybridsort,18300,reversed,1831
hybridsort,18300,almost,1906
quicksort,18400,random,6022
quicksort,18400,reversed,6477
quicksort,18400,almost,6527
hybridsort,18400,random,5625
hybridsort,18400,reversed,3750
hybridsort,18400,almost,3615
quicksort,18500,random,4518
quicksort,18500,reversed,3444
quicksort,18500,almost,3347
hybridsort,18500,random,2982
hybridsort,18500,reversed,1808
hybridsort,18500,almost,3237
quicksort,18600,random,3520
quicksort,18600,reversed,3672
quicksort,18600,almost,3217
hybridsort,18600,random,2830
hybridsort,18600,reversed,1796
hybridsort,18600,almost,1941
quicksort,18700,random,3708
quicksort,18700,reversed,3867
quicksort,18700,almost,3331
hybridsort,18700,random,2780
hybridsort,18700,reversed,1934
hybridsort,18700,almost,1972
quicksort,18800,random,4575
quicksort,18800,reversed,3459
quicksort,18800,almost,3253
hybridsort,18800,random,2796
hybridsort,18800,reversed,2106
hybridsort,18800,almost,1894
quicksort,18900,random,3923
quicksort,18900,reversed,3549
quicksort,18900,almost,3230
hybridsort,18900,random,2922
hybridsort,18900,reversed,3181
hybridsort,18900,almost,2383
quicksort,19000,random,3573
quicksort,19000,reversed,3221
quicksort,19000,almost,3170
hybridsort,19000,random,5703
hybridsort,19000,reversed,1948
hybridsort,19000,almost,1970
quicksort,19100,random,4427
quicksort,19100,reversed,3359
quicksort,19100,almost,3695
hybridsort,19100,random,2881
hybridsort,19100,reversed,2200
hybridsort,19100,almost,3768
quicksort,19200,random,4391
quicksort,19200,reversed,4689
quicksort,19200,almost,3491
hybridsort,19200,random,2901
hybridsort,19200,reversed,1871
hybridsort,19200,almost,2038
quicksort,19300,random,4109
quicksort,19300,reversed,3452
quicksort,19300,almost,3433
hybridsort,19300,random,3163
hybridsort,19300,reversed,1837
hybridsort,19300,almost,2668
quicksort,19400,random,4354
quicksort,19400,reversed,4129
quicksort,19400,almost,3229
hybridsort,19400,random,3399
hybridsort,19400,reversed,2091
hybridsort,19400,almost,2085
quicksort,19500,random,4276
quicksort,19500,reversed,3747
quicksort,19500,almost,3335
hybridsort,19500,random,5735
hybridsort,19500,reversed,2995
hybridsort,19500,almost,1992
quicksort,19600,random,3963
quicksort,19600,reversed,4208
quicksort,19600,almost,3371
hybridsort,19600,random,3247
hybridsort,19600,reversed,3251
hybridsort,19600,almost,1933
quicksort,19700,random,4844
quicksort,19700,reversed,4008
quicksort,19700,almost,3429
hybridsort,19700,random,3026
hybridsort,19700,reversed,1950
hybridsort,19700,almost,1991
quicksort,19800,random,4824
quicksort,19800,reversed,3373
quicksort,19800,almost,3322
hybridsort,19800,random,3047
hybridsort,19800,reversed,2488
hybridsort,19800,almost,2073
quicksort,19900,random,3942
quicksort,19900,reversed,3993
quicksort,19900,almost,3396
hybridsort,19900,random,3111
hybridsort,19900,reversed,1993
hybridsort,19900,almost,3079
quicksort,20000,random,6131
quicksort,20000,reversed,5858
quicksort,20000,almost,3361
hybridsort,20000,random,3017
hybridsort,20000,reversed,1954
hybridsort,20000,almost,2113
quicksort,20100,random,5156
quicksort,20100,reversed,3766
quicksort,20100,almost,3681
hybridsort,20100,random,3085
hybridsort,20100,reversed,2356
hybridsort,20100,almost,2065
quicksort,20200,random,5127
quicksort,20200,reversed,3519
quicksort,20200,almost,3448
hybridsort,20200,random,3666
hybridsort,20200,reversed,2110
hybridsort,20200,almost,2620
quicksort,20300,random,3973
quicksort,20300,reversed,4259
quicksort,20300,almost,3596
hybridsort,20300,random,3081
hybridsort,20300,reversed,2641
hybridsort,20300,almost,2162
quicksort,20400,random,6031
quicksort,20400,reversed,3549
quicksort,20400,almost,3535
hybridsort,20400,random,3097
hybridsort,20400,reversed,2136
hybridsort,20400,almost,2278
quicksort,20500,random,4191
quicksort,20500,reversed,3472
quicksort,20500,almost,3510
hybridsort,20500,random,3111
hybridsort,20500,reversed,2140
hybridsort,20500,almost,2699
quicksort,20600,random,3832
quicksort,20600,reversed,4484
quicksort,20600,almost,3557
hybridsort,20600,random,3511
hybridsort,20600,reversed,3419
hybridsort,20600,almost,3004
quicksort,20700,random,11333
quicksort,20700,reversed,3803
quicksort,20700,almost,3443
hybridsort,20700,random,3290
hybridsort,20700,reversed,2158
hybridsort,20700,almost,2165
quicksort,20800,random,4116
quicksort,20800,reversed,3626
quicksort,20800,almost,3607
hybridsort,20800,random,3127
hybridsort,20800,reversed,2139
hybridsort,20800,almost,2162
quicksort,20900,random,4625
quicksort,20900,reversed,3833
quicksort,20900,almost,3693
hybridsort,20900,random,3260
hybridsort,20900,reversed,3553
hybridsort,20900,almost,2423
quicksort,21000,random,4729
quicksort,21000,reversed,5572
quicksort,21000,almost,4342
hybridsort,21000,random,3312
hybridsort,21000,reversed,2153
hybridsort,21000,almost,2151
quicksort,21100,random,5203
quicksort,21100,reversed,3949
quicksort,21100,almost,3700
hybridsort,21100,random,3265
hybridsort,21100,reversed,2183
hybridsort,21100,almost,2307
quicksort,21200,random,4677
quicksort,21200,reversed,3843
quicksort,21200,almost,4154
hybridsort,21200,random,3332
hybridsort,21200,reversed,2188
hybridsort,21200,almost,2234
quicksort,21300,random,4228
quicksort,21300,reversed,4254
quicksort,21300,almost,3524
hybridsort,21300,random,3356
hybridsort,21300,reversed,2191
hybridsort,21300,almost,2286
quicksort,21400,random,4109
quicksort,21400,reversed,3933
quicksort,21400,almost,3720
hybridsort,21400,random,3378
hybridsort,21400,reversed,2524
hybridsort,21400,almost,2171
quicksort,21500,random,4246
quicksort,21500,reversed,3843
quicksort,21500,almost,3732
hybridsort,21500,random,3183
hybridsort,21500,reversed,2228
hybridsort,21500,almost,2212
quicksort,21600,random,4971
quicksort,21600,reversed,4145
quicksort,21600,almost,3984
hybridsort,21600,random,3312
hybridsort,21600,reversed,2205
hybridsort,21600,almost,3412
quicksort,21700,random,4568
quicksort,21700,reversed,4070
quicksort,21700,almost,3788
hybridsort,21700,random,3318
hybridsort,21700,reversed,2333
hybridsort,21700,almost,2343
quicksort,21800,random,4213
quicksort,21800,reversed,3935
quicksort,21800,almost,4570
hybridsort,21800,random,4016
hybridsort,21800,reversed,2271
hybridsort,21800,almost,2850
quicksort,21900,random,4527
quicksort,21900,reversed,3979
quicksort,21900,almost,3777
hybridsort,21900,random,3413
hybridsort,21900,reversed,2201
hybridsort,21900,almost,2357
quicksort,22000,random,5643
quicksort,22000,reversed,3806
quicksort,22000,almost,3841
hybridsort,22000,random,4013
hybridsort,22000,reversed,3933
hybridsort,22000,almost,2301
quicksort,22100,random,5005
quicksort,22100,reversed,4209
quicksort,22100,almost,4127
hybridsort,22100,random,3479
hybridsort,22100,reversed,2240
hybridsort,22100,almost,2574
quicksort,22200,random,4779
quicksort,22200,reversed,3933
quicksort,22200,almost,3869
hybridsort,22200,random,3549
hybridsort,22200,reversed,2325
hybridsort,22200,almost,2678
quicksort,22300,random,4565
quicksort,22300,reversed,4096
quicksort,22300,almost,3900
hybridsort,22300,random,3881
hybridsort,22300,reversed,2261
hybridsort,22300,almost,2547
quicksort,22400,random,4937
quicksort,22400,reversed,4537
quicksort,22400,almost,4011
hybridsort,22400,random,3470
hybridsort,22400,reversed,2651
hybridsort,22400,almost,2588
quicksort,22500,random,5482
quicksort,22500,reversed,3845
quicksort,22500,almost,4581
hybridsort,22500,random,3650
hybridsort,22500,reversed,2273
hybridsort,22500,almost,2470
quicksort,22600,random,5200
quicksort,22600,reversed,4356
quicksort,22600,almost,3965
hybridsort,22600,random,3442
hybridsort,22600,reversed,2398
hybridsort,22600,almost,2432
quicksort,22700,random,5377
quicksort,22700,reversed,4718
quicksort,22700,almost,4567
hybridsort,22700,random,3563
hybridsort,22700,reversed,3174
hybridsort,22700,almost,2489
quicksort,22800,random,5493
quicksort,22800,reversed,5103
quicksort,22800,almost,5192
hybridsort,22800,random,3495
hybridsort,22800,reversed,2370
hybridsort,22800,almost,2387
quicksort,22900,random,4340
quicksort,22900,reversed,4436
quicksort,22900,almost,4149
hybridsort,22900,random,5474
hybridsort,22900,reversed,2506
hybridsort,22900,almost,2511
quicksort,23000,random,4631
quicksort,23000,reversed,3958
quicksort,23000,almost,3871
hybridsort,23000,random,3464
hybridsort,23000,reversed,2361
hybridsort,23000,almost,2466
quicksort,23100,random,4832
quicksort,23100,reversed,4252
quicksort,23100,almost,4027
hybridsort,23100,random,3963
hybridsort,23100,reversed,2345
hybridsort,23100,almost,4797
quicksort,23200,random,4913
quicksort,23200,reversed,4307
quicksort,23200,almost,4079
hybridsort,23200,random,3717
hybridsort,23200,reversed,2457
hybridsort,23200,almost,2857
quicksort,23300,random,5594
quicksort,23300,reversed,4255
quicksort,23300,almost,4189
hybridsort,23300,random,3542
hybridsort,23300,reversed,2419
hybridsort,23300,almost,2512
quicksort,23400,random,5433
quicksort,23400,reversed,3879
quicksort,23400,almost,3981
hybridsort,23400,random,3645
hybridsort,23400,reversed,2493
hybridsort,23400,almost,2423
quicksort,23500,random,5590
quicksort,23500,reversed,4074
quicksort,23500,almost,4112
hybridsort,23500,random,3675
hybridsort,23500,reversed,3004
hybridsort,23500,almost,2458
quicksort,23600,random,4535
quicksort,23600,reversed,4141
quicksort,23600,almost,4053
hybridsort,23600,random,4180
hybridsort,23600,reversed,2653
hybridsort,23600,almost,2707
quicksort,23700,random,5184
quicksort,23700,reversed,4442
quicksort,23700,almost,3962
hybridsort,23700,random,3632
hybridsort,23700,reversed,2488
hybridsort,23700,almost,3075
quicksort,23800,random,4545
quicksort,23800,reversed,4619
quicksort,23800,almost,4030
hybridsort,23800,random,3763
hybridsort,23800,reversed,2948
hybridsort,23800,almost,3012
quicksort,23900,random,6837
quicksort,23900,reversed,8575
quicksort,23900,almost,8448
hybridsort,23900,random,3712
hybridsort,23900,reversed,5057
hybridsort,23900,almost,3345
quicksort,24000,random,8573
quicksort,24000,reversed,9305
quicksort,24000,almost,4315
hybridsort,24000,random,3639
hybridsort,24000,reversed,2582
hybridsort,24000,almost,2494
quicksort,24100,random,5160
quicksort,24100,reversed,7091
quicksort,24100,almost,4322
hybridsort,24100,random,3718
hybridsort,24100,reversed,2502
hybridsort,24100,almost,2781
quicksort,24200,random,5021
quicksort,24200,reversed,4205
quicksort,24200,almost,4851
hybridsort,24200,random,3683
hybridsort,24200,reversed,2508
hybridsort,24200,almost,4979
quicksort,24300,random,8192
quicksort,24300,reversed,4305
quicksort,24300,almost,6361
hybridsort,24300,random,3848
hybridsort,24300,reversed,2773
hybridsort,24300,almost,2798
quicksort,24400,random,5619
quicksort,24400,reversed,5120
quicksort,24400,almost,6156
hybridsort,24400,random,5511
hybridsort,24400,reversed,4466
hybridsort,24400,almost,4475
quicksort,24500,random,7865
quicksort,24500,reversed,6391
quicksort,24500,almost,6328
hybridsort,24500,random,5671
hybridsort,24500,reversed,3950
hybridsort,24500,almost,3906
quicksort,24600,random,7425
quicksort,24600,reversed,6820
quicksort,24600,almost,6501
hybridsort,24600,random,5565
hybridsort,24600,reversed,4168
hybridsort,24600,almost,4441
quicksort,24700,random,7695
quicksort,24700,reversed,7403
quicksort,24700,almost,6918
hybridsort,24700,random,6063
hybridsort,24700,reversed,4485
hybridsort,24700,almost,4117
quicksort,24800,random,7166
quicksort,24800,reversed,6706
quicksort,24800,almost,6127
hybridsort,24800,random,5462
hybridsort,24800,reversed,3890
hybridsort,24800,almost,3574
quicksort,24900,random,4865
quicksort,24900,reversed,4403
quicksort,24900,almost,4172
hybridsort,24900,random,3946
hybridsort,24900,reversed,2865
hybridsort,24900,almost,5232
quicksort,25000,random,5844
quicksort,25000,reversed,5003
quicksort,25000,almost,5733
hybridsort,25000,random,8084
hybridsort,25000,reversed,2792
hybridsort,25000,almost,2701
quicksort,25100,random,5582
quicksort,25100,reversed,4548
quicksort,25100,almost,4411
hybridsort,25100,random,3949
hybridsort,25100,reversed,2730
hybridsort,25100,almost,3068
quicksort,25200,random,5268
quicksort,25200,reversed,5817
quicksort,25200,almost,4274
hybridsort,25200,random,3947
hybridsort,25200,reversed,2661
hybridsort,25200,almost,2874
quicksort,25300,random,5254
quicksort,25300,reversed,5264
quicksort,25300,almost,4400
hybridsort,25300,random,4023
hybridsort,25300,reversed,2725
hybridsort,25300,almost,4623
quicksort,25400,random,5783
quicksort,25400,reversed,4507
quicksort,25400,almost,4476
hybridsort,25400,random,4076
hybridsort,25400,reversed,3848
hybridsort,25400,almost,2655
quicksort,25500,random,5821
quicksort,25500,reversed,4759
quicksort,25500,almost,4581
hybridsort,25500,random,4149
hybridsort,25500,reversed,2679
hybridsort,25500,almost,2755
quicksort,25600,random,4991
quicksort,25600,reversed,5481
quicksort,25600,almost,4657
hybridsort,25600,random,4045
hybridsort,25600,reversed,2840
hybridsort,25600,almost,2762
quicksort,25700,random,7229
quicksort,25700,reversed,4364
quicksort,25700,almost,4417
hybridsort,25700,random,4112
hybridsort,25700,reversed,2694
hybridsort,25700,almost,2717
quicksort,25800,random,5259
quicksort,25800,reversed,4862
quicksort,25800,almost,4712
hybridsort,25800,random,4340
hybridsort,25800,reversed,3824
hybridsort,25800,almost,2701
quicksort,25900,random,6893
quicksort,25900,reversed,4724
quicksort,25900,almost,4893
hybridsort,25900,random,4345
hybridsort,25900,reversed,2746
hybridsort,25900,almost,2785
quicksort,26000,random,6363
quicksort,26000,reversed,4676
quicksort,26000,almost,4627
hybridsort,26000,random,4001
hybridsort,26000,reversed,2723
hybridsort,26000,almost,2897
quicksort,26100,random,5835
quicksort,26100,reversed,4959
quicksort,26100,almost,4573
hybridsort,26100,random,4156
hybridsort,26100,reversed,2796
hybridsort,26100,almost,2740
quicksort,26200,random,5777
quicksort,26200,reversed,5370
quicksort,26200,almost,4538
hybridsort,26200,random,4205
hybridsort,26200,reversed,2712
hybridsort,26200,almost,2903
quicksort,26300,random,6181
quicksort,26300,reversed,4752
quicksort,26300,almost,4686
hybridsort,26300,random,4240
hybridsort,26300,reversed,2754
hybridsort,26300,almost,3031
quicksort,26400,random,5243
quicksort,26400,reversed,4959
quicksort,26400,almost,4720
hybridsort,26400,random,4480
hybridsort,26400,reversed,5593
hybridsort,26400,almost,3071
quicksort,26500,random,5319
quicksort,26500,reversed,4789
quicksort,26500,almost,4842
hybridsort,26500,random,4149
hybridsort,26500,reversed,2892
hybridsort,26500,almost,5441
quicksort,26600,random,10856
quicksort,26600,reversed,4511
quicksort,26600,almost,4788
hybridsort,26600,random,4310
hybridsort,26600,reversed,2845
hybridsort,26600,almost,2861
quicksort,26700,random,5872
quicksort,26700,reversed,4836
quicksort,26700,almost,4789
hybridsort,26700,random,4154
hybridsort,26700,reversed,3291
hybridsort,26700,almost,3374
quicksort,26800,random,5284
quicksort,26800,reversed,5553
quicksort,26800,almost,4545
hybridsort,26800,random,4399
hybridsort,26800,reversed,2833
hybridsort,26800,almost,3734
quicksort,26900,random,5655
quicksort,26900,reversed,4814
quicksort,26900,almost,4804
hybridsort,26900,random,4148
hybridsort,26900,reversed,3014
hybridsort,26900,almost,3051
quicksort,27000,random,5483
quicksort,27000,reversed,4843
quicksort,27000,almost,4755
hybridsort,27000,random,4284
hybridsort,27000,reversed,2883
hybridsort,27000,almost,4026
quicksort,27100,random,6744
quicksort,27100,reversed,4687
quicksort,27100,almost,5003
hybridsort,27100,random,4329
hybridsort,27100,reversed,4513
hybridsort,27100,almost,4973
quicksort,27200,random,5643
quicksort,27200,reversed,4648
quicksort,27200,almost,4696
hybridsort,27200,random,4279
hybridsort,27200,reversed,3655
hybridsort,27200,almost,3067
quicksort,27300,random,5340
quicksort,27300,reversed,4937
quicksort,27300,almost,4830
hybridsort,27300,random,4336
hybridsort,27300,reversed,2889
hybridsort,27300,almost,5531
quicksort,27400,random,7380
quicksort,27400,reversed,9895
quicksort,27400,almost,4625
hybridsort,27400,random,6097
hybridsort,27400,reversed,5345
hybridsort,27400,almost,2951
quicksort,27500,random,5398
quicksort,27500,reversed,4889
quicksort,27500,almost,4823
hybridsort,27500,random,4341
hybridsort,27500,reversed,2985
hybridsort,27500,almost,2965
quicksort,27600,random,6668
quicksort,27600,reversed,4889
quicksort,27600,almost,5011
hybridsort,27600,random,4332
hybridsort,27600,reversed,3395
hybridsort,27600,almost,3055
quicksort,27700,random,8754
quicksort,27700,reversed,4755
quicksort,27700,almost,4845
hybridsort,27700,random,4314
hybridsort,27700,reversed,2962
hybridsort,27700,almost,3077
quicksort,27800,random,7089
quicksort,27800,reversed,5062
quicksort,27800,almost,4574
hybridsort,27800,random,5555
hybridsort,27800,reversed,4006
hybridsort,27800,almost,3056
quicksort,27900,random,10500
quicksort,27900,reversed,5013
quicksort,27900,almost,5195
hybridsort,27900,random,4374
hybridsort,27900,reversed,3008
hybridsort,27900,almost,3106
quicksort,28000,random,5384
quicksort,28000,reversed,5195
quicksort,28000,almost,4950
hybridsort,28000,random,4317
hybridsort,28000,reversed,3171
hybridsort,28000,almost,3138
quicksort,28100,random,7577
quicksort,28100,reversed,8726
quicksort,28100,almost,4703
hybridsort,28100,random,4608
hybridsort,28100,reversed,3190
hybridsort,28100,almost,3300
quicksort,28200,random,7744
quicksort,28200,reversed,6010
quicksort,28200,almost,5323
hybridsort,28200,random,8219
hybridsort,28200,reversed,3218
hybridsort,28200,almost,3874
quicksort,28300,random,5792
quicksort,28300,reversed,5142
quicksort,28300,almost,5051
hybridsort,28300,random,4467
hybridsort,28300,reversed,3229
hybridsort,28300,almost,3155
quicksort,28400,random,6624
quicksort,28400,reversed,5196
quicksort,28400,almost,4885
hybridsort,28400,random,4486
hybridsort,28400,reversed,3001
hybridsort,28400,almost,3638
quicksort,28500,random,5926
quicksort,28500,reversed,5180
quicksort,28500,almost,5126
hybridsort,28500,random,4870
hybridsort,28500,reversed,3161
hybridsort,28500,almost,3820
quicksort,28600,random,7738
quicksort,28600,reversed,5083
quicksort,28600,almost,4982
hybridsort,28600,random,4712
hybridsort,28600,reversed,3212
hybridsort,28600,almost,3199
quicksort,28700,random,6111
quicksort,28700,reversed,5221
quicksort,28700,almost,4927
hybridsort,28700,random,4812
hybridsort,28700,reversed,3172
hybridsort,28700,almost,4263
quicksort,28800,random,6712
quicksort,28800,reversed,6979
quicksort,28800,almost,5005
hybridsort,28800,random,4596
hybridsort,28800,reversed,3110
hybridsort,28800,almost,3824
quicksort,28900,random,5796
quicksort,28900,reversed,5457
quicksort,28900,almost,5239
hybridsort,28900,random,4526
hybridsort,28900,reversed,3027
hybridsort,28900,almost,3311
quicksort,29000,random,6841
quicksort,29000,reversed,5253
quicksort,29000,almost,5273
hybridsort,29000,random,5273
hybridsort,29000,reversed,3571
hybridsort,29000,almost,3563
quicksort,29100,random,5662
quicksort,29100,reversed,5088
quicksort,29100,almost,4971
hybridsort,29100,random,4462
hybridsort,29100,reversed,3268
hybridsort,29100,almost,3242
quicksort,29200,random,8376
quicksort,29200,reversed,5154
quicksort,29200,almost,6110
hybridsort,29200,random,4590
hybridsort,29200,reversed,3236
hybridsort,29200,almost,3739
quicksort,29300,random,6635
quicksort,29300,reversed,5576
quicksort,29300,almost,5057
hybridsort,29300,random,4663
hybridsort,29300,reversed,4408
hybridsort,29300,almost,3259
quicksort,29400,random,7564
quicksort,29400,reversed,6349
quicksort,29400,almost,5388
hybridsort,29400,random,4623
hybridsort,29400,reversed,3220
hybridsort,29400,almost,3394
quicksort,29500,random,6570
quicksort,29500,reversed,5379
quicksort,29500,almost,5180
hybridsort,29500,random,4716
hybridsort,29500,reversed,3114
hybridsort,29500,almost,3292
quicksort,29600,random,6102
quicksort,29600,reversed,5517
quicksort,29600,almost,5977
hybridsort,29600,random,4752
hybridsort,29600,reversed,3939
hybridsort,29600,almost,3244
quicksort,29700,random,6254
quicksort,29700,reversed,5359
quicksort,29700,almost,5182
hybridsort,29700,random,4615
hybridsort,29700,reversed,3129
hybridsort,29700,almost,3720
quicksort,29800,random,9111
quicksort,29800,reversed,5310
quicksort,29800,almost,5519
hybridsort,29800,random,6024
hybridsort,29800,reversed,3264
hybridsort,29800,almost,4859
quicksort,29900,random,6761
quicksort,29900,reversed,5440
quicksort,29900,almost,5505
hybridsort,29900,random,4706
hybridsort,29900,reversed,3326
hybridsort,29900,almost,6134
quicksort,30000,random,7357
quicksort,30000,reversed,5774
quicksort,30000,almost,5274
hybridsort,30000,random,4750
hybridsort,30000,reversed,3242
hybridsort,30000,almost,4101
quicksort,30100,random,6652
quicksort,30100,reversed,6097
quicksort,30100,almost,5215
hybridsort,30100,random,4846
hybridsort,30100,reversed,3962
hybridsort,30100,almost,4421
quicksort,30200,random,13105
quicksort,30200,reversed,5480
quicksort,30200,almost,7570
hybridsort,30200,random,6200
hybridsort,30200,reversed,3175
hybridsort,30200,almost,3551
quicksort,30300,random,5947
quicksort,30300,reversed,5365
quicksort,30300,almost,5304
hybridsort,30300,random,5024
hybridsort,30300,reversed,3221
hybridsort,30300,almost,3490
quicksort,30400,random,7514
quicksort,30400,reversed,5441
quicksort,30400,almost,5463
hybridsort,30400,random,4676
hybridsort,30400,reversed,4108
hybridsort,30400,almost,6409
quicksort,30500,random,9860
quicksort,30500,reversed,5508
quicksort,30500,almost,8923
hybridsort,30500,random,9316
hybridsort,30500,reversed,3410
hybridsort,30500,almost,3356
quicksort,30600,random,12119
quicksort,30600,reversed,10930
quicksort,30600,almost,6135
hybridsort,30600,random,5359
hybridsort,30600,reversed,6545
hybridsort,30600,almost,3682
quicksort,30700,random,7984
quicksort,30700,reversed,5404
quicksort,30700,almost,5551
hybridsort,30700,random,4834
hybridsort,30700,reversed,3511
hybridsort,30700,almost,3691
quicksort,30800,random,9484
quicksort,30800,reversed,5470
quicksort,30800,almost,5376
hybridsort,30800,random,5117
hybridsort,30800,reversed,3278
hybridsort,30800,almost,3575
quicksort,30900,random,7751
quicksort,30900,reversed,5729
quicksort,30900,almost,5424
hybridsort,30900,random,6431
hybridsort,30900,reversed,3284
hybridsort,30900,almost,3509
quicksort,31000,random,6167
quicksort,31000,reversed,5509
quicksort,31000,almost,5584
hybridsort,31000,random,4911
hybridsort,31000,reversed,6105
hybridsort,31000,almost,6339
quicksort,31100,random,10186
quicksort,31100,reversed,7826
quicksort,31100,almost,8942
hybridsort,31100,random,6621
hybridsort,31100,reversed,6285
hybridsort,31100,almost,3515
quicksort,31200,random,6665
quicksort,31200,reversed,5721
quicksort,31200,almost,5338
hybridsort,31200,random,5606
hybridsort,31200,reversed,3778
hybridsort,31200,almost,3699
quicksort,31300,random,6648
quicksort,31300,reversed,6170
quicksort,31300,almost,5494
hybridsort,31300,random,5344
hybridsort,31300,reversed,3702
hybridsort,31300,almost,3796
quicksort,31400,random,8048
quicksort,31400,reversed,6024
quicksort,31400,almost,5801
hybridsort,31400,random,6372
hybridsort,31400,reversed,4540
hybridsort,31400,almost,3518
quicksort,31500,random,6196
quicksort,31500,reversed,5662
quicksort,31500,almost,5600
hybridsort,31500,random,5308
hybridsort,31500,reversed,3533
hybridsort,31500,almost,3452
quicksort,31600,random,6237
quicksort,31600,reversed,5769
quicksort,31600,almost,6606
hybridsort,31600,random,4952
hybridsort,31600,reversed,4273
hybridsort,31600,almost,3591
quicksort,31700,random,7907
quicksort,31700,reversed,6464
quicksort,31700,almost,5520
hybridsort,31700,random,4928
hybridsort,31700,reversed,3893
hybridsort,31700,almost,3619
quicksort,31800,random,6553
quicksort,31800,reversed,5907
quicksort,31800,almost,5727
hybridsort,31800,random,5230
hybridsort,31800,reversed,3489
hybridsort,31800,almost,3940
quicksort,31900,random,7419
quicksort,31900,reversed,5839
quicksort,31900,almost,5668
hybridsort,31900,random,5291
hybridsort,31900,reversed,3489
hybridsort,31900,almost,3584
quicksort,32000,random,7379
quicksort,32000,reversed,5885
quicksort,32000,almost,5766
hybridsort,32000,random,5272
hybridsort,32000,reversed,3628
hybridsort,32000,almost,3653
quicksort,32100,random,7732
quicksort,32100,reversed,5859
quicksort,32100,almost,5772
hybridsort,32100,random,9380
hybridsort,32100,reversed,3725
hybridsort,32100,almost,3777
quicksort,32200,random,7688
quicksort,32200,reversed,5768
quicksort,32200,almost,5627
hybridsort,32200,random,5273
hybridsort,32200,reversed,3504
hybridsort,32200,almost,3877
quicksort,32300,random,7157
quicksort,32300,reversed,5453
quicksort,32300,almost,5829
hybridsort,32300,random,5073
hybridsort,32300,reversed,6579
hybridsort,32300,almost,3668
quicksort,32400,random,6387
quicksort,32400,reversed,5737
quicksort,32400,almost,5770
hybridsort,32400,random,5466
hybridsort,32400,reversed,3671
hybridsort,32400,almost,3912
quicksort,32500,random,7118
quicksort,32500,reversed,6254
quicksort,32500,almost,5794
hybridsort,32500,random,5141
hybridsort,32500,reversed,3882
hybridsort,32500,almost,4776
quicksort,32600,random,8210
quicksort,32600,reversed,10045
quicksort,32600,almost,5958
hybridsort,32600,random,6143
hybridsort,32600,reversed,7095
hybridsort,32600,almost,3626
quicksort,32700,random,8782
quicksort,32700,reversed,6082
quicksort,32700,almost,5614
hybridsort,32700,random,5198
hybridsort,32700,reversed,6640
hybridsort,32700,almost,7338
quicksort,32800,random,9983
quicksort,32800,reversed,5897
quicksort,32800,almost,5952
hybridsort,32800,random,8991
hybridsort,32800,reversed,5052
hybridsort,32800,almost,3873
quicksort,32900,random,9027
quicksort,32900,reversed,7201
quicksort,32900,almost,6138
hybridsort,32900,random,5480
hybridsort,32900,reversed,3653
hybridsort,32900,almost,4816
